time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760461845269565360,2025-10-14T17:10:45.269Z,0.015000,-0.485000,0.000000,0.000000,0
1760461845369433348,2025-10-14T17:10:45.369Z,0.040050,-0.459950,0.250831,0.000000,0
1760461845469491715,2025-10-14T17:10:45.469Z,0.071383,-0.428617,0.313152,0.000000,0
1760461845569390201,2025-10-14T17:10:45.569Z,0.106175,-0.393825,0.348273,0.000000,0
1760461845669376371,2025-10-14T17:10:45.669Z,0.142345,-0.357655,0.361741,0.000000,0
1760461845769625064,2025-10-14T17:10:45.769Z,0.178393,-0.321607,0.359586,0.624790,0
1760461845869825842,2025-10-14T17:10:45.869Z,0.213274,-0.286726,0.348120,0.497214,0
1760461845969380224,2025-10-14T17:10:45.969Z,0.246293,-0.253707,0.331669,0.347545,0
1760461846070734326,2025-10-14T17:10:46.070Z,0.277018,-0.222982,0.303140,0.108468,0
1760461846169411493,2025-10-14T17:10:46.169Z,0.305215,-0.194785,0.285746,-0.041500,0
1760461846269499119,2025-10-14T17:10:46.269Z,0.330796,-0.169204,0.255588,-0.305918,0
1760461846370824208,2025-10-14T17:10:46.371Z,0.353779,-0.146221,0.226824,-0.554138,0
1760461846470614727,2025-10-14T17:10:46.470Z,0.374254,-0.125746,0.205177,-0.725757,0
1760461846569454519,2025-10-14T17:10:46.569Z,0.392358,-0.107642,0.183172,-0.888386,0
1760461846670554702,2025-10-14T17:10:46.670Z,0.408261,-0.091739,0.157295,-1.068418,0
1760461846769955172,2025-10-14T17:10:46.770Z,0.422145,-0.077855,0.139677,-1.152586,0
1760461846870635029,2025-10-14T17:10:46.870Z,0.434199,-0.065801,0.119730,-1.245605,0
1760461846970634776,2025-10-14T17:10:46.970Z,0.444611,-0.055389,0.104122,-1.289515,0
1760461847070681622,2025-10-14T17:10:47.070Z,0.453561,-0.046439,0.089460,-1.320922,0
1760461847169505610,2025-10-14T17:10:47.169Z,0.461220,-0.038780,0.077494,-1.328372,0
1760461847269648746,2025-10-14T17:10:47.269Z,0.467744,-0.032256,0.065149,-1.558781,0
1760461847370641225,2025-10-14T17:10:47.370Z,0.473278,-0.026722,0.054802,-1.469773,0
1760461847470583504,2025-10-14T17:10:47.470Z,0.477954,-0.022046,0.046786,-1.374812,0
