time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag,roll_mean_delta_m_per_s,roll_std_delta_m_per_s,zscore_win_delta_m_per_s,edge_flag_win
1760375222381508420,2025-10-13T17:07:02.381Z,0.526,0.226,0.039878,1.941852,0,0.0012057500000000041,0.08636305475319088,0.44778696296139475,0
1760375222480924127,2025-10-13T17:07:02.480Z,0.521,0.221,-0.050294,-1.849626,0,-0.012303749999999997,0.06992087042535645,-0.5433320519165481,0
1760375222582893596,2025-10-13T17:07:02.582Z,0.53,0.23,0.088265,2.159076,0,-0.013373849999999998,0.06809588504475848,1.4925843159714303,0
1760375222684893997,2025-10-13T17:07:02.684Z,0.524,0.224,-0.058821,-1.292135,0,-0.014809599999999996,0.06876665068369002,-0.6400108128348698,0
1760375222785640313,2025-10-13T17:07:02.785Z,0.523,0.223,-0.009926,-0.229388,0,-0.007913499999999995,0.06122508191264868,-0.032870515434692084,0
1760375222882184484,2025-10-13T17:07:02.882Z,0.518,0.218,-0.051789,-1.035148,0,-0.003981599999999997,0.055168644562688184,-0.8665683266094459,0
1760375222981904879,2025-10-13T17:07:02.981Z,0.518,0.218,0.0,0.138896,0,0.0015236500000000036,0.04919110374990812,-0.03097409661198849,0
1760375223082042503,2025-10-13T17:07:03.082Z,0.515,0.215,-0.029959,-0.473907,0,0.0038920500000000037,0.04624709091787075,-0.7319606342400082,0
1760375223180389136,2025-10-13T17:07:03.180Z,0.516,0.216,0.010168,0.382653,0,0.0023921000000000038,0.04548891912485262,0.17094053122382669,0
1760375223281911580,2025-10-13T17:07:03.281Z,0.517,0.217,0.009851,0.329178,0,-0.0037791499999999963,0.03362247594013193,0.40538805126278615,0
1760375223381061790,2025-10-13T17:07:03.381Z,0.52,0.22,0.030256,0.719891,0,-0.003134899999999996,0.034168089381607036,0.9772539408649111,0
1760375223468120744,2025-10-13T17:07:03.468Z,0.519,0.219,-0.011486,-0.112084,0,-0.004203199999999996,0.034073632543284126,-0.21373711742499363,0
1760375223566093948,2025-10-13T17:07:03.566Z,0.518,0.218,-0.010207,-0.177711,0,-0.004207049999999996,0.0340743418046253,-0.17608410558309195,0
1760375223690872151,2025-10-13T17:07:03.690Z,0.52,0.22,0.016028,0.873974,0,-0.003405649999999996,0.0343657324414814,0.5654950038702644,0
1760375223777249946,2025-10-13T17:07:03.777Z,0.515,0.215,-0.057885,-1.749425,0,-0.0047923499999999964,0.03602140799912585,-1.473919342666684,0
1760375223864376238,2025-10-13T17:07:03.864Z,0.515,0.215,0.0,0.31094,0,-0.004291949999999997,0.03601465378729102,0.11917232428080582,0
1760375223988974313,2025-10-13T17:07:03.988Z,0.516,0.216,0.008026,0.454934,0,-0.004896849999999996,0.035683053370170484,0.3621565079069985,0
1760375224087494248,2025-10-13T17:07:04.087Z,0.516,0.216,0.0,0.022224,0,-0.004393749999999997,0.035677328664271306,0.12315243782251199,0
1760375224184316260,2025-10-13T17:07:04.184Z,0.517,0.217,0.010329,0.458697,0,-0.004376449999999997,0.035684750003143584,0.4120934012065251,0
1760375224280330465,2025-10-13T17:07:04.280Z,0.519,0.219,0.020829,0.831801,0,-0.0023368499999999967,0.035912027803736306,0.6450721782296518,0
1760375224381578313,2025-10-13T17:07:04.381Z,0.514,0.214,-0.049384,-1.582347,0,-0.0067999499999999964,0.03593616900250122,-1.1849913661368878,0
1760375224482454612,2025-10-13T17:07:04.482Z,0.513,0.213,-0.009913,-0.101621,0,-0.004780899999999996,0.03446827988455493,-0.14889341786677535,0
1760375224580991268,2025-10-13T17:07:04.580Z,0.515,0.215,0.020295,0.877924,0,-0.008179399999999996,0.027447029610928243,1.0374310227239563,0
1760375224681500222,2025-10-13T17:07:04.681Z,0.516,0.216,0.009951,0.47936,0,-0.004740799999999996,0.024964300415214254,0.588512385912734,0
1760375224782543577,2025-10-13T17:07:04.782Z,0.514,0.214,-0.019792,-0.889076,0,-0.005234099999999997,0.025168793369442607,-0.5784107241976378,0
1760375224883341494,2025-10-13T17:07:04.883Z,0.518,0.218,0.039681,1.479811,0,-0.0006605999999999962,0.02456737725949883,1.6420800467987342,0
1760375224981208953,2025-10-13T17:07:04.981Z,0.519,0.219,0.010218,0.277786,0,-0.00014969999999999627,0.024687789067941498,0.41995255109591995,0
1760375225080767427,2025-10-13T17:07:05.080Z,0.517,0.217,-0.020088,-0.861557,0,0.0003438500000000035,0.02415337097596618,-0.8459212596175798,0
1760375225180413289,2025-10-13T17:07:05.180Z,0.516,0.216,-0.010036,-0.411917,0,-0.0006663499999999964,0.02414336406873071,-0.388083863264735,0
1760375225280558088,2025-10-13T17:07:05.280Z,0.513,0.213,-0.029956,-0.918535,0,-0.0026566999999999967,0.02486085236524142,-1.098083830712411,0
1760375225380585097,2025-10-13T17:07:05.380Z,0.512,0.212,-0.009997,-0.149649,0,-0.004669349999999997,0.02365630728017846,-0.22521055111860266,0
1760375225482840357,2025-10-13T17:07:05.482Z,0.51,0.21,-0.019559,-0.753861,0,-0.005072999999999997,0.023846850064526637,-0.6074596838074073,0
1760375225580551102,2025-10-13T17:07:05.580Z,0.507,0.207,-0.030704,-1.120154,0,-0.006097849999999997,0.024510316578245244,-1.003909921826135,0
1760375225682209679,2025-10-13T17:07:05.682Z,0.509,0.209,0.019674,1.159051,0,-0.005915549999999997,0.02469639554453482,1.0361653770022656,0
1760375225782515501,2025-10-13T17:07:05.782Z,0.513,0.213,0.039875,1.637439,0,-0.0010275499999999969,0.023515310758100007,1.7394007853334805,0
1760375225879766298,2025-10-13T17:07:05.879Z,0.509,0.209,-0.041132,-1.292788,0,-0.003084149999999997,0.025161735715953454,-1.5121313739845177,0
1760375225978600632,2025-10-13T17:07:05.978Z,0.51,0.21,0.010118,0.710104,0,-0.0029795499999999966,0.025214645335963685,0.5194421664666027,0
1760375226081746438,2025-10-13T17:07:06.081Z,0.51,0.21,0.0,0.285467,0,-0.0029795499999999966,0.025214645335963685,0.11816743643624684,0
1760375226180094189,2025-10-13T17:07:06.180Z,0.512,0.212,0.020336,0.990953,0,-0.002479199999999997,0.025589141215922723,0.8915969397911386,0
1760375226279525657,2025-10-13T17:07:06.279Z,0.514,0.214,0.020117,0.841074,0,-0.0025147999999999967,0.02555548096036941,0.885594758912839,0
1760375226379739545,2025-10-13T17:07:06.379Z,0.512,0.212,-0.019954,-0.748323,0,-0.0010432999999999968,0.023477499954548047,-0.8054818458784251,0
1760375226482051115,2025-10-13T17:07:06.482Z,0.507,0.207,-0.048872,-1.522467,0,-0.0029912499999999965,0.02575766606351375,-1.7812464020174177,0
1760375226581280958,2025-10-13T17:07:06.581Z,0.507,0.207,0.0,-0.00057,0,-0.004005999999999997,0.02518541102973815,0.1590603383550039,0
1760375226680411648,2025-10-13T17:07:06.680Z,0.508,0.208,0.010087,0.335017,0,-0.003999199999999996,0.025189395765094096,0.5592115083411322,0
1760375226779918944,2025-10-13T17:07:06.779Z,0.507,0.207,-0.01005,-0.309476,0,-0.0035120999999999963,0.02496108744447125,-0.2619236847971587,0
