time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760390597571520448,2025-10-13T21:23:17.571Z,0.582000,0.282000,0.000000,0.000000,0
1760390597671931687,2025-10-13T21:23:17.672Z,0.579000,0.279000,-0.029877,0.000000,0
1760390597769577309,2025-10-13T21:23:17.769Z,0.548000,0.248000,-0.317475,0.000000,0
1760390597871071251,2025-10-13T21:23:17.871Z,0.565000,0.265000,0.167498,0.000000,0
1760390597973339949,2025-10-13T21:23:17.973Z,0.570000,0.270000,0.048891,0.000000,0
1760390598071454615,2025-10-13T21:23:18.071Z,0.562000,0.262000,-0.081537,-0.284662,0
1760390598169432837,2025-10-13T21:23:18.169Z,0.552000,0.252000,-0.102063,-0.380756,0
1760390598270065941,2025-10-13T21:23:18.270Z,0.535000,0.235000,-0.168930,-0.744858,0
1760390598371877422,2025-10-13T21:23:18.371Z,0.519000,0.219000,-0.157154,-0.614025,0
1760390598470625882,2025-10-13T21:23:18.470Z,0.515000,0.215000,-0.040507,0.208586,0
1760390598569793252,2025-10-13T21:23:18.569Z,0.517000,0.217000,0.020168,0.625267,0
1760390598669569007,2025-10-13T21:23:18.669Z,0.524000,0.224000,0.070157,0.932539,0
1760390598772517399,2025-10-13T21:23:18.772Z,0.529000,0.229000,0.048568,0.719109,0
1760390598869540716,2025-10-13T21:23:18.869Z,0.539000,0.239000,0.103068,1.061298,0
1760390598969282868,2025-10-13T21:23:18.969Z,0.540000,0.240000,0.010026,0.315322,0
1760390599068535020,2025-10-13T21:23:19.068Z,0.540000,0.240000,0.000000,0.226174,0
1760390599169618266,2025-10-13T21:23:19.169Z,0.540000,0.240000,0.000000,0.219499,0
1760390599269272728,2025-10-13T21:23:19.269Z,0.542000,0.242000,0.020069,0.381812,0
1760390599369027755,2025-10-13T21:23:19.369Z,0.542000,0.242000,0.000000,0.197437,0
1760390599470230063,2025-10-13T21:23:19.470Z,0.538000,0.238000,-0.039525,-0.160923,0
1760390599570080480,2025-10-13T21:23:19.570Z,0.537000,0.237000,-0.010015,0.121704,0
1760390599669205104,2025-10-13T21:23:19.669Z,0.536000,0.236000,-0.010088,0.111665,0
1760390599769052167,2025-10-13T21:23:19.769Z,0.536000,0.236000,0.000000,0.075664,0
1760390599869933653,2025-10-13T21:23:19.870Z,0.534000,0.234000,-0.019826,-0.063606,0
1760390599969134205,2025-10-13T21:23:19.969Z,0.531000,0.231000,-0.030241,-0.160984,0
1760390600068754082,2025-10-13T21:23:20.068Z,0.521000,0.221000,-0.100381,-1.169679,0
1760390600168185719,2025-10-13T21:23:20.168Z,0.488000,0.188000,-0.331887,-3.111232,0
1760390600267544863,2025-10-13T21:23:20.267Z,0.428000,0.128000,-0.603870,-3.477796,0
1760390600370321379,2025-10-13T21:23:20.370Z,0.347000,0.047000,-0.788118,-3.088117,0
1760390600468234685,2025-10-13T21:23:20.468Z,0.269000,-0.031000,-0.796623,-2.430086,0
1760390600569599842,2025-10-13T21:23:20.569Z,0.202000,-0.098000,-0.660977,-1.681889,0
1760390600667529645,2025-10-13T21:23:20.667Z,0.158000,-0.142000,-0.449301,-0.883570,0
1760390600767479360,2025-10-13T21:23:20.767Z,0.126000,-0.174000,-0.320161,-0.398832,0
1760390600889464080,2025-10-13T21:23:20.889Z,0.085000,-0.215000,-0.336108,-0.388473,0
1760390600967888453,2025-10-13T21:23:20.968Z,0.020000,-0.280000,-0.828824,-1.792607,0
1760390601067763904,2025-10-13T21:23:21.067Z,0.019000,-0.281000,-0.010012,0.814783,0
1760390601167037955,2025-10-13T21:23:21.167Z,0.020000,-0.280000,0.010073,0.875886,0
