time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760808972775588965,2025-10-18T17:36:12.775Z,0.015000,-0.485000,0.000000,0.000000,0
1760808972875514365,2025-10-18T17:36:12.875Z,0.040050,-0.459950,0.250687,0.000000,0
1760808972975626483,2025-10-18T17:36:12.975Z,0.071383,-0.428617,0.312984,0.000000,0
1760808973073548441,2025-10-18T17:36:13.073Z,0.106175,-0.393825,0.355303,0.000000,0
1760808973175158235,2025-10-18T17:36:13.175Z,0.142345,-0.357655,0.355961,0.000000,0
1760808973273734019,2025-10-18T17:36:13.273Z,0.178393,-0.321607,0.365688,0.656026,0
1760808973375507935,2025-10-18T17:36:13.375Z,0.213274,-0.286726,0.342739,0.453395,0
1760808973475572175,2025-10-18T17:36:13.475Z,0.246293,-0.253707,0.329979,0.333393,0
1760808973575451391,2025-10-18T17:36:13.575Z,0.277018,-0.222982,0.307617,0.143013,0
1760808973675435126,2025-10-18T17:36:13.675Z,0.305215,-0.194785,0.282012,-0.076603,0
1760808973773570269,2025-10-18T17:36:13.773Z,0.330796,-0.169204,0.260673,-0.261488,0
1760808973875705996,2025-10-18T17:36:13.875Z,0.353779,-0.146221,0.225024,-0.574542,0
1760808973974859830,2025-10-18T17:36:13.975Z,0.374254,-0.125746,0.206494,-0.715710,0
1760808974075426304,2025-10-18T17:36:14.075Z,0.392358,-0.107642,0.180027,-0.919104,0
1760808974174749963,2025-10-18T17:36:14.174Z,0.408261,-0.091739,0.160108,-1.041878,0
1760808974274999942,2025-10-18T17:36:14.275Z,0.422145,-0.077855,0.138493,-1.164256,0
1760808974375026806,2025-10-18T17:36:14.375Z,0.434199,-0.065801,0.120512,-1.238594,0
