time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760809427227821172,2025-10-18T17:43:47.227Z,0.015000,-0.485000,0.000000,0.000000,0
1760809427329304267,2025-10-18T17:43:47.329Z,0.040050,-0.459950,0.246839,0.000000,0
1760809427428834105,2025-10-18T17:43:47.429Z,0.071383,-0.428617,0.314815,0.000000,0
1760809427529231842,2025-10-18T17:43:47.529Z,0.106175,-0.393825,0.346541,0.000000,0
1760809427629136160,2025-10-18T17:43:47.629Z,0.142345,-0.357655,0.362037,0.000000,0
1760809427728514058,2025-10-18T17:43:47.728Z,0.178393,-0.321607,0.362737,0.645826,0
1760809427828952568,2025-10-18T17:43:47.829Z,0.213274,-0.286726,0.347296,0.491085,0
1760809427929053750,2025-10-18T17:43:47.929Z,0.246293,-0.253707,0.329857,0.335329,0
1760809428029133260,2025-10-18T17:43:48.029Z,0.277018,-0.222982,0.307001,0.141214,0
1760809428128914426,2025-10-18T17:43:48.129Z,0.305215,-0.194785,0.282585,-0.068229,0
1760809428229192638,2025-10-18T17:43:48.229Z,0.330796,-0.169204,0.255102,-0.307050,0
1760809428329161469,2025-10-18T17:43:48.329Z,0.353779,-0.146221,0.229902,-0.522663,0
1760809428429056839,2025-10-18T17:43:48.429Z,0.374254,-0.125746,0.204961,-0.726882,0
1760809428529007333,2025-10-18T17:43:48.529Z,0.392358,-0.107642,0.181137,-0.905314,0
1760809428628827682,2025-10-18T17:43:48.629Z,0.408261,-0.091739,0.159311,-1.046938,0
1760809428729069824,2025-10-18T17:43:48.729Z,0.422145,-0.077855,0.138504,-1.161691,0
1760809428829068783,2025-10-18T17:43:48.829Z,0.434199,-0.065801,0.120546,-1.236382,0
1760809428928954274,2025-10-18T17:43:48.929Z,0.444611,-0.055389,0.104241,-1.287452,0
1760809429028968084,2025-10-18T17:43:49.029Z,0.453561,-0.046439,0.089489,-1.319861,0
1760809429129039756,2025-10-18T17:43:49.129Z,0.461220,-0.038780,0.076528,-1.335223,0
1760809429228891310,2025-10-18T17:43:49.229Z,0.467744,-0.032256,0.065339,-1.554815,0
1760809429329054129,2025-10-18T17:43:49.329Z,0.473278,-0.026722,0.055256,-1.465557,0
1760809429429033438,2025-10-18T17:43:49.429Z,0.477954,-0.022046,0.046768,-1.375050,0
1760809429528655383,2025-10-18T17:43:49.528Z,0.481889,-0.018111,0.039494,-1.299916,0
1760809429629079459,2025-10-18T17:43:49.629Z,0.485186,-0.014814,0.032836,-1.243788,0
1760809429727853219,2025-10-18T17:43:49.727Z,0.487939,-0.012061,0.027868,-1.194042,0
1760809429827843317,2025-10-18T17:43:49.827Z,0.490228,-0.009772,0.022889,-1.157756,0
1760809429927775350,2025-10-18T17:43:49.927Z,0.492123,-0.007877,0.018965,-1.125204,0
1760809430027534560,2025-10-18T17:43:50.027Z,0.493686,-0.006314,0.015668,-1.097301,0
1760809430127533604,2025-10-18T17:43:50.127Z,0.494969,-0.005031,0.012835,-1.074677,0
1760809430227526072,2025-10-18T17:43:50.227Z,0.496019,-0.003981,0.010494,-1.053093,0
1760809430327542286,2025-10-18T17:43:50.327Z,0.496873,-0.003127,0.008539,-1.034516,0
1760809430429131112,2025-10-18T17:43:50.429Z,0.497564,-0.002436,0.006808,-1.019741,0
1760809430529045577,2025-10-18T17:43:50.529Z,0.498122,-0.001878,0.005577,-1.002426,0
1760809430628504686,2025-10-18T17:43:50.628Z,0.498568,-0.001432,0.004488,-0.988465,0
1760809430727556142,2025-10-18T17:43:50.727Z,0.498923,-0.001077,0.003588,-0.974403,0
