time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760817941386991578,2025-10-18T20:05:41.387Z,0.645000,0.145000,0.000000,0.000000,0
1760817941486455533,2025-10-18T20:05:41.486Z,0.640000,0.140000,-0.050269,0.000000,0
1760817941586328717,2025-10-18T20:05:41.586Z,0.604000,0.104000,-0.360457,0.000000,0
1760817941684860763,2025-10-18T20:05:41.684Z,0.554000,0.054000,-0.507449,0.000000,0
1760817941786262320,2025-10-18T20:05:41.786Z,0.517000,0.017000,-0.364886,0.000000,0
1760817941887735169,2025-10-18T20:05:41.887Z,0.500000,0.000000,-0.167533,0.370733,0
1760817941984558173,2025-10-18T20:05:41.984Z,0.494000,-0.006000,-0.061969,0.790273,0
1760817942086700376,2025-10-18T20:05:42.086Z,0.500000,0.000000,0.058742,1.172850,0
1760817942185912506,2025-10-18T20:05:42.185Z,0.513000,0.013000,0.131032,1.273565,0
1760817942285501768,2025-10-18T20:05:42.285Z,0.520000,0.020000,0.070288,0.901212,0
1760817942386049993,2025-10-18T20:05:42.386Z,0.529000,0.029000,0.089509,0.904778,0
1760817942484533787,2025-10-18T20:05:42.484Z,0.537000,0.037000,0.081232,0.805720,0
1760817942586716750,2025-10-18T20:05:42.586Z,0.543000,0.043000,0.058718,0.661310,0
1760817942685836071,2025-10-18T20:05:42.685Z,0.544000,0.044000,0.010089,0.410076,0
1760817942784629530,2025-10-18T20:05:42.784Z,0.543000,0.043000,-0.010123,0.298785,0
1760817942884879777,2025-10-18T20:05:42.884Z,0.544000,0.044000,0.009976,0.388173,0
1760817942984064975,2025-10-18T20:05:42.984Z,0.539000,0.039000,-0.050411,0.066438,0
1760817943085834822,2025-10-18T20:05:43.085Z,0.538000,0.038000,-0.009826,0.280073,0
1760817943185029866,2025-10-18T20:05:43.185Z,0.534000,0.034000,-0.040325,0.105796,0
1760817943284091058,2025-10-18T20:05:43.284Z,0.532000,0.032000,-0.020189,0.216662,0
1760817943384098962,2025-10-18T20:05:43.384Z,0.534000,0.034000,0.019998,0.448159,0
1760817943483817259,2025-10-18T20:05:43.483Z,0.532000,0.032000,-0.020056,0.201833,0
1760817943584133919,2025-10-18T20:05:43.584Z,0.530000,0.030000,-0.019937,0.112545,0
1760817943683542283,2025-10-18T20:05:43.683Z,0.530000,0.030000,0.000000,0.111536,0
1760817943784008589,2025-10-18T20:05:43.784Z,0.529000,0.029000,-0.009953,-0.243638,0
1760817943883359571,2025-10-18T20:05:43.883Z,0.529000,0.029000,0.000000,-0.280600,0
1760817943984850591,2025-10-18T20:05:43.984Z,0.526000,0.026000,-0.029559,-0.928422,0
1760817944083231623,2025-10-18T20:05:44.083Z,0.519000,0.019000,-0.071152,-1.562389,0
1760817944183418667,2025-10-18T20:05:44.183Z,0.515000,0.015000,-0.039925,-0.928221,0
1760817944297405476,2025-10-18T20:05:44.297Z,0.510000,0.010000,-0.043865,-0.932970,0
1760817944383839901,2025-10-18T20:05:44.383Z,0.510000,0.010000,0.000000,0.260384,0
1760817944485016307,2025-10-18T20:05:44.485Z,0.510000,0.010000,0.000000,0.464742,0
1760817944584966412,2025-10-18T20:05:44.585Z,0.505000,0.005000,-0.050025,-1.288182,0
1760817944684140910,2025-10-18T20:05:44.684Z,0.499000,-0.001000,-0.060499,-1.529881,0
1760817944784016342,2025-10-18T20:05:44.784Z,0.496000,-0.004000,-0.030038,-0.271463,0
1760817944882647179,2025-10-18T20:05:44.882Z,0.495000,-0.005000,-0.010139,0.594114,0
1760817944983886914,2025-10-18T20:05:44.983Z,0.491000,-0.009000,-0.039510,-0.675878,0
1760817945083562149,2025-10-18T20:05:45.083Z,0.490000,-0.010000,-0.010032,0.588885,0
1760817945182481817,2025-10-18T20:05:45.182Z,0.493000,-0.007000,0.030328,1.953366,0
1760817945284023771,2025-10-18T20:05:45.284Z,0.492000,-0.008000,-0.009848,0.379552,0
1760817945382968126,2025-10-18T20:05:45.383Z,0.489000,-0.011000,-0.030320,-0.332791,0
1760817945484848934,2025-10-18T20:05:45.484Z,0.491000,-0.009000,0.019631,1.529835,0
1760817945582526365,2025-10-18T20:05:45.582Z,0.493000,-0.007000,0.020476,1.401603,0
1760817945682248616,2025-10-18T20:05:45.682Z,0.490000,-0.010000,-0.030083,-0.378255,0
1760817945782329665,2025-10-18T20:05:45.782Z,0.485000,-0.015000,-0.049959,-1.005332,0
1760817945883813578,2025-10-18T20:05:45.883Z,0.481000,-0.019000,-0.039415,-0.564173,0
1760817945983094178,2025-10-18T20:05:45.983Z,0.476000,-0.024000,-0.050362,-0.899989,0
1760817946082392010,2025-10-18T20:05:46.082Z,0.477000,-0.023000,0.010071,1.127431,0
1760817946181836910,2025-10-18T20:05:46.181Z,0.481000,-0.019000,0.040223,1.893754,0
1760817946282433803,2025-10-18T20:05:46.282Z,0.483000,-0.017000,0.019881,1.098022,0
1760817946382882806,2025-10-18T20:05:46.382Z,0.485000,-0.015000,0.019911,1.039498,0
1760817946481860043,2025-10-18T20:05:46.481Z,0.487000,-0.013000,0.020206,0.992846,0
1760817946581716212,2025-10-18T20:05:46.581Z,0.503000,0.003000,0.160231,3.307316,0
1760817946682530559,2025-10-18T20:05:46.682Z,0.522000,0.022000,0.188465,2.828747,0
1760817946782871080,2025-10-18T20:05:46.782Z,0.546000,0.046000,0.239185,2.686044,0
1760817946882747786,2025-10-18T20:05:46.882Z,0.547000,0.047000,0.010012,-0.200733,0
1760817946981822972,2025-10-18T20:05:46.981Z,0.540000,0.040000,-0.070653,-1.172602,0
1760817947082047245,2025-10-18T20:05:47.082Z,0.531000,0.031000,-0.089799,-1.300813,0
1760817947183191071,2025-10-18T20:05:47.183Z,0.519000,0.019000,-0.118643,-1.459390,0
1760817947281697528,2025-10-18T20:05:47.281Z,0.510000,0.010000,-0.091365,-1.077271,0
1760817947380661485,2025-10-18T20:05:47.380Z,0.498000,-0.002000,-0.121256,-1.292066,0
1760817947481908608,2025-10-18T20:05:47.481Z,0.487000,-0.013000,-0.108645,-1.062252,0
1760817947580926933,2025-10-18T20:05:47.581Z,0.479000,-0.021000,-0.080793,-0.724422,0
1760817947681027481,2025-10-18T20:05:47.681Z,0.475000,-0.025000,-0.039960,-0.317509,0
1760817947781206331,2025-10-18T20:05:47.781Z,0.472000,-0.028000,-0.029946,-0.229753,0
1760817947880745096,2025-10-18T20:05:47.880Z,0.476000,-0.024000,0.040185,0.421299,0
1760817947981653992,2025-10-18T20:05:47.981Z,0.472000,-0.028000,-0.039640,-0.369893,0
1760817948080801553,2025-10-18T20:05:48.080Z,0.474000,-0.026000,0.020172,0.214545,0
