time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760389760615508615,2025-10-13T21:09:20.615Z,0.529000,0.229000,0.000000,0.000000,0
1760389760714198974,2025-10-13T21:09:20.714Z,0.540000,0.240000,0.111460,0.000000,0
1760389760813793816,2025-10-13T21:09:20.813Z,0.551000,0.251000,0.110447,0.000000,0
1760389760913829008,2025-10-13T21:09:20.913Z,0.556000,0.256000,0.049982,0.000000,0
1760389761014442379,2025-10-13T21:09:21.014Z,0.563000,0.263000,0.069574,0.000000,0
1760389761114077323,2025-10-13T21:09:21.114Z,0.565000,0.265000,0.020073,-0.873592,0
1760389761213801014,2025-10-13T21:09:21.213Z,0.571000,0.271000,0.060166,-0.001837,0
1760389761313331526,2025-10-13T21:09:21.313Z,0.571000,0.271000,0.000000,-1.189169,0
1760389761413920295,2025-10-13T21:09:21.414Z,0.566000,0.266000,-0.049707,-1.695006,0
1760389761514286970,2025-10-13T21:09:21.514Z,0.563000,0.263000,-0.029890,-1.156594,0
1760389761613304403,2025-10-13T21:09:21.613Z,0.554000,0.254000,-0.090893,-1.757575,0
1760389761713018326,2025-10-13T21:09:21.713Z,0.550000,0.250000,-0.040115,-0.897201,0
1760389761812781151,2025-10-13T21:09:21.812Z,0.551000,0.251000,0.010024,-0.113374,0
1760389761912875328,2025-10-13T21:09:21.912Z,0.545000,0.245000,-0.059943,-1.140209,0
1760389762013197599,2025-10-13T21:09:22.013Z,0.542000,0.242000,-0.029904,-0.630295,0
1760389762113542562,2025-10-13T21:09:22.113Z,0.545000,0.245000,0.029897,0.333260,0
1760389762213713315,2025-10-13T21:09:22.213Z,0.546000,0.246000,0.009983,-0.001476,0
1760389762312689225,2025-10-13T21:09:22.312Z,0.543000,0.243000,-0.030311,-0.672803,0
1760389762413038747,2025-10-13T21:09:22.413Z,0.543000,0.243000,0.000000,-0.134501,0
1760389762512919236,2025-10-13T21:09:22.513Z,0.538000,0.238000,-0.050060,-0.989805,0
1760389762612493979,2025-10-13T21:09:22.612Z,0.532000,0.232000,-0.060256,-1.083219,0
1760389762712556302,2025-10-13T21:09:22.712Z,0.533000,0.233000,0.009994,0.265876,0
1760389762814344347,2025-10-13T21:09:22.814Z,0.529000,0.229000,-0.039297,-0.645348,0
1760389762913768267,2025-10-13T21:09:22.913Z,0.524000,0.224000,-0.050290,-0.812357,0
1760389763013752220,2025-10-13T21:09:23.013Z,0.525000,0.225000,0.010001,0.771064,0
1760389763112498789,2025-10-13T21:09:23.112Z,0.523000,0.223000,-0.020254,0.021617,0
1760389763212933620,2025-10-13T21:09:23.213Z,0.525000,0.225000,0.019913,1.313882,0
1760389763312602972,2025-10-13T21:09:23.312Z,0.525000,0.225000,0.000000,0.704982,0
1760389763412371801,2025-10-13T21:09:23.412Z,0.521000,0.221000,-0.040092,-0.541334,0
