time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760457210578769906,2025-10-14T15:53:30.578Z,0.015000,-0.485000,0.000000,0.000000,0
1760457210678232302,2025-10-14T15:53:30.678Z,0.040050,-0.459950,0.251854,0.000000,0
1760457210779014471,2025-10-14T15:53:30.779Z,0.071383,-0.428617,0.310903,0.000000,0
1760457210878108729,2025-10-14T15:53:30.878Z,0.106175,-0.393825,0.351100,0.000000,0
1760457210978298826,2025-10-14T15:53:30.978Z,0.142345,-0.357655,0.361005,0.000000,0
1760457211078659265,2025-10-14T15:53:31.078Z,0.178393,-0.321607,0.359186,0.621324,0
1760457211178632934,2025-10-14T15:53:31.178Z,0.213274,-0.286726,0.348910,0.501627,0
1760457211279742160,2025-10-14T15:53:31.279Z,0.246293,-0.253707,0.326568,0.310235,0
1760457211378579130,2025-10-14T15:53:31.378Z,0.277018,-0.222982,0.310861,0.172190,0
1760457211479779126,2025-10-14T15:53:31.479Z,0.305215,-0.194785,0.278623,-0.104451,0
1760457211578329327,2025-10-14T15:53:31.578Z,0.330796,-0.169204,0.259575,-0.268072,0
1760457211678251059,2025-10-14T15:53:31.678Z,0.353779,-0.146221,0.230010,-0.526722,0
1760457211778314394,2025-10-14T15:53:31.778Z,0.374254,-0.125746,0.204617,-0.735399,0
1760457211879411129,2025-10-14T15:53:31.879Z,0.392358,-0.107642,0.179083,-0.928532,0
1760457211979130131,2025-10-14T15:53:31.979Z,0.408261,-0.091739,0.159473,-1.047537,0
1760457212079131152,2025-10-14T15:53:32.079Z,0.422145,-0.077855,0.138838,-1.160918,0
1760457212179101517,2025-10-14T15:53:32.179Z,0.434199,-0.065801,0.120580,-1.238403,0
1760457212279693136,2025-10-14T15:53:32.279Z,0.444611,-0.055389,0.103509,-1.295470,0
1760457212378292702,2025-10-14T15:53:32.378Z,0.453561,-0.046439,0.090773,-1.310500,0
1760457212479244748,2025-10-14T15:53:32.479Z,0.461220,-0.038780,0.075860,-1.342750,0
1760457212579067946,2025-10-14T15:53:32.579Z,0.467744,-0.032256,0.065358,-1.556384,0
1760457212679420506,2025-10-14T15:53:32.679Z,0.473278,-0.026722,0.055152,-1.466556,0
1760457212779067491,2025-10-14T15:53:32.779Z,0.477954,-0.022046,0.046924,-1.373360,0
1760457212878249635,2025-10-14T15:53:32.878Z,0.481889,-0.018111,0.039669,-1.300106,0
1760457212978177979,2025-10-14T15:53:32.978Z,0.485186,-0.014814,0.032998,-1.243950,0
1760457213078220781,2025-10-14T15:53:33.078Z,0.487939,-0.012061,0.027515,-1.196480,0
1760457213178118280,2025-10-14T15:53:33.178Z,0.490228,-0.009772,0.022910,-1.157754,0
1760457213278193638,2025-10-14T15:53:33.278Z,0.492123,-0.007877,0.018938,-1.122912,0
1760457213379358367,2025-10-14T15:53:33.379Z,0.493686,-0.006314,0.015450,-1.100132,0
1760457213479313604,2025-10-14T15:53:33.479Z,0.494969,-0.005031,0.012841,-1.070687,0
1760457213578204152,2025-10-14T15:53:33.578Z,0.496019,-0.003981,0.010611,-1.052211,0
1760457213678354063,2025-10-14T15:53:33.678Z,0.496873,-0.003127,0.008527,-1.036357,0
1760457213778394807,2025-10-14T15:53:33.778Z,0.497564,-0.002436,0.006913,-1.020074,0
1760457213878962580,2025-10-14T15:53:33.879Z,0.498122,-0.001878,0.005540,-1.002553,0
1760457213978267717,2025-10-14T15:53:33.978Z,0.498568,-0.001432,0.004495,-0.987684,0
1760457214078380838,2025-10-14T15:53:34.078Z,0.498923,-0.001077,0.003550,-0.975313,0
1760457214178423990,2025-10-14T15:53:34.178Z,0.499205,-0.000795,0.002810,-0.962837,0
1760457214278364437,2025-10-14T15:53:34.278Z,0.499425,-0.000575,0.002208,-0.948703,0
1760457214378267532,2025-10-14T15:53:34.378Z,0.499597,-0.000403,0.001719,-0.941385,0
1760457214478165977,2025-10-14T15:53:34.478Z,0.499729,-0.000271,0.001324,-0.928004,0
1760457214578230464,2025-10-14T15:53:34.578Z,0.499830,-0.000170,0.001007,-0.917602,0
1760457214678479102,2025-10-14T15:53:34.678Z,0.499905,-0.000095,0.000754,-0.905515,0
1760457214778141448,2025-10-14T15:53:34.778Z,0.499961,-0.000039,0.000559,-0.894783,0
1760457214878176574,2025-10-14T15:53:34.878Z,0.500001,0.000001,0.000402,-0.886459,0
1760457214978174300,2025-10-14T15:53:34.978Z,0.500030,0.000030,0.000281,-0.876431,0
1760457215078172270,2025-10-14T15:53:35.078Z,0.500048,0.000048,0.000188,-0.866038,0
1760457215178232496,2025-10-14T15:53:35.178Z,0.500060,0.000060,0.000117,-0.856117,0
1760457215278166875,2025-10-14T15:53:35.278Z,0.500066,0.000066,0.000064,-0.845546,0
1760457215378277874,2025-10-14T15:53:35.378Z,0.500069,0.000069,0.000024,-0.831163,0
1760457215478194664,2025-10-14T15:53:35.478Z,0.500069,0.000069,-0.000003,-0.817934,0
1760457215578107775,2025-10-14T15:53:35.578Z,0.500066,0.000066,-0.000023,-0.807982,0
1760457215678320023,2025-10-14T15:53:35.678Z,0.500063,0.000063,-0.000036,-0.794013,0
1760457215778674825,2025-10-14T15:53:35.778Z,0.500058,0.000058,-0.000043,-0.779276,0
1760457215879722200,2025-10-14T15:53:35.879Z,0.500053,0.000053,-0.000048,-0.761585,0
1760457215978946651,2025-10-14T15:53:35.979Z,0.500048,0.000048,-0.000050,-0.746359,0
1760457216078124076,2025-10-14T15:53:36.078Z,0.500044,0.000044,-0.000050,-0.726408,0
1760457216178337188,2025-10-14T15:53:36.178Z,0.500039,0.000039,-0.000048,-0.703327,0
1760457216278713859,2025-10-14T15:53:36.278Z,0.500034,0.000034,-0.000046,-0.679168,0
1760457216379287879,2025-10-14T15:53:36.379Z,0.500030,0.000030,-0.000043,-0.649993,0
1760457216478146070,2025-10-14T15:53:36.478Z,0.500026,0.000026,-0.000039,-0.614997,0
1760457216578350158,2025-10-14T15:53:36.578Z,0.500022,0.000022,-0.000036,-0.574618,0
1760457216678390313,2025-10-14T15:53:36.678Z,0.500019,0.000019,-0.000035,-0.530397,0
1760457216779462015,2025-10-14T15:53:36.779Z,0.500016,0.000016,-0.000032,-0.473487,0
1760457216879355867,2025-10-14T15:53:36.879Z,0.500012,0.000012,-0.000032,-0.411183,0
1760457216978334732,2025-10-14T15:53:36.978Z,0.500010,0.000010,-0.000026,-0.264024,0
1760457217078286745,2025-10-14T15:53:37.078Z,0.500008,0.000008,-0.000021,-0.027529,0
1760457217178400636,2025-10-14T15:53:37.178Z,0.500006,0.000006,-0.000018,0.327027,0
1760457217278265918,2025-10-14T15:53:37.278Z,0.500004,0.000004,-0.000014,0.906011,0
