time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760804981915795631,2025-10-18T16:29:41.916Z,0.015000,-0.485000,0.000000,0.000000,0
1760804982015664142,2025-10-18T16:29:42.015Z,0.040050,-0.459950,0.250830,0.000000,0
1760804982116551234,2025-10-18T16:29:42.116Z,0.071383,-0.428617,0.310580,0.000000,0
1760804982216058326,2025-10-18T16:29:42.216Z,0.106175,-0.393825,0.349643,0.000000,0
1760804982316427805,2025-10-18T16:29:42.316Z,0.142345,-0.357655,0.360360,0.000000,0
1760804982416184628,2025-10-18T16:29:42.416Z,0.178393,-0.321607,0.361359,0.638203,0
1760804982516346086,2025-10-18T16:29:42.516Z,0.213274,-0.286726,0.348256,0.498732,0
1760804982616369972,2025-10-18T16:29:42.616Z,0.246293,-0.253707,0.330112,0.337117,0
1760804982716208415,2025-10-18T16:29:42.716Z,0.277018,-0.222982,0.307742,0.146278,0
1760804982815873068,2025-10-18T16:29:42.816Z,0.305215,-0.194785,0.282915,-0.067249,0
1760804982916639455,2025-10-18T16:29:42.916Z,0.330796,-0.169204,0.253867,-0.320302,0
1760804983015707358,2025-10-18T16:29:43.015Z,0.353779,-0.146221,0.231992,-0.505460,0
1760804983116400544,2025-10-18T16:29:43.116Z,0.374254,-0.125746,0.203338,-0.745443,0
1760804983216105855,2025-10-18T16:29:43.216Z,0.392358,-0.107642,0.181582,-0.903318,0
1760804983315388700,2025-10-18T16:29:43.315Z,0.408261,-0.091739,0.160174,-1.041869,0
1760804983415408553,2025-10-18T16:29:43.415Z,0.422145,-0.077855,0.138812,-1.162518,0
1760804983515959958,2025-10-18T16:29:43.516Z,0.434199,-0.065801,0.119883,-1.245394,0
1760804983615484430,2025-10-18T16:29:43.615Z,0.444611,-0.055389,0.104619,-1.286573,0
1760804983716536908,2025-10-18T16:29:43.716Z,0.453561,-0.046439,0.088569,-1.329573,0
1760804983816215557,2025-10-18T16:29:43.816Z,0.461220,-0.038780,0.076829,-1.333815,0
1760804983916317394,2025-10-18T16:29:43.916Z,0.467744,-0.032256,0.065176,-1.557692,0
1760804984015638282,2025-10-18T16:29:44.015Z,0.473278,-0.026722,0.055725,-1.462062,0
1760804984116634261,2025-10-18T16:29:44.116Z,0.477954,-0.022046,0.046298,-1.378561,0
1760804984216597664,2025-10-18T16:29:44.216Z,0.481889,-0.018111,0.039359,-1.301482,0
1760804984315882217,2025-10-18T16:29:44.316Z,0.485186,-0.014814,0.033212,-1.240399,0
1760804984416248686,2025-10-18T16:29:44.416Z,0.487939,-0.012061,0.027426,-1.196640,0
1760804984516316755,2025-10-18T16:29:44.516Z,0.490228,-0.009772,0.022871,-1.156734,0
1760804984616143403,2025-10-18T16:29:44.616Z,0.492123,-0.007877,0.018985,-1.123758,0
1760804984715940805,2025-10-18T16:29:44.716Z,0.493686,-0.006314,0.015662,-1.096579,0
1760804984816317369,2025-10-18T16:29:44.816Z,0.494969,-0.005031,0.012787,-1.074691,0
1760804984915661731,2025-10-18T16:29:44.915Z,0.496019,-0.003981,0.010563,-1.049958,0
1760804985016028804,2025-10-18T16:29:45.016Z,0.496873,-0.003127,0.008509,-1.035252,0
1760804985116794036,2025-10-18T16:29:45.116Z,0.497564,-0.002436,0.006864,-1.016729,0
1760804985217008863,2025-10-18T16:29:45.217Z,0.498122,-0.001878,0.005560,-1.000962,0
1760804985316566155,2025-10-18T16:29:45.316Z,0.498568,-0.001432,0.004484,-0.988214,0
1760804985416861563,2025-10-18T16:29:45.417Z,0.498923,-0.001077,0.003544,-0.976304,0
1760804985516917678,2025-10-18T16:29:45.517Z,0.499205,-0.000795,0.002809,-0.962438,0
1760804985617037660,2025-10-18T16:29:45.617Z,0.499425,-0.000575,0.002204,-0.952568,0
1760804985716869459,2025-10-18T16:29:45.717Z,0.499597,-0.000403,0.001720,-0.938316,0
1760804985817167599,2025-10-18T16:29:45.817Z,0.499729,-0.000271,0.001319,-0.928350,0
1760804985917118990,2025-10-18T16:29:45.917Z,0.499830,-0.000170,0.001008,-0.916995,0
1760804986015849847,2025-10-18T16:29:46.015Z,0.499905,-0.000095,0.000766,-0.908203,0
1760804986115800040,2025-10-18T16:29:46.115Z,0.499961,-0.000039,0.000558,-0.895929,0
1760804986215546322,2025-10-18T16:29:46.215Z,0.500001,0.000001,0.000403,-0.885000,0
1760804986315598463,2025-10-18T16:29:46.315Z,0.500030,0.000030,0.000281,-0.876635,0
1760804986415687696,2025-10-18T16:29:46.415Z,0.500048,0.000048,0.000188,-0.865187,0
1760804986515398745,2025-10-18T16:29:46.515Z,0.500060,0.000060,0.000117,-0.853950,0
1760804986616536756,2025-10-18T16:29:46.616Z,0.500066,0.000066,0.000064,-0.843227,0
1760804986716390554,2025-10-18T16:29:46.716Z,0.500069,0.000069,0.000024,-0.832431,0
1760804986817063016,2025-10-18T16:29:46.817Z,0.500069,0.000069,-0.000003,-0.819229,0
1760804986915809556,2025-10-18T16:29:46.915Z,0.500066,0.000066,-0.000024,-0.809113,0
1760804987016957737,2025-10-18T16:29:47.017Z,0.500063,0.000063,-0.000035,-0.795172,0
1760804987116556759,2025-10-18T16:29:47.116Z,0.500058,0.000058,-0.000044,-0.779269,0
1760804987216282714,2025-10-18T16:29:47.216Z,0.500053,0.000053,-0.000048,-0.762934,0
1760804987316809217,2025-10-18T16:29:47.317Z,0.500048,0.000048,-0.000050,-0.746477,0
1760804987416736314,2025-10-18T16:29:47.416Z,0.500044,0.000044,-0.000050,-0.726552,0
1760804987516377568,2025-10-18T16:29:47.516Z,0.500039,0.000039,-0.000048,-0.704484,0
1760804987616728243,2025-10-18T16:29:47.616Z,0.500034,0.000034,-0.000045,-0.677474,0
1760804987716583988,2025-10-18T16:29:47.716Z,0.500030,0.000030,-0.000042,-0.648688,0
1760804987816862563,2025-10-18T16:29:47.817Z,0.500026,0.000026,-0.000038,-0.611188,0
1760804987916593035,2025-10-18T16:29:47.916Z,0.500023,0.000023,-0.000035,-0.567178,0
1760804988016792728,2025-10-18T16:29:48.016Z,0.500020,0.000020,-0.000032,-0.515824,0
1760804988116483741,2025-10-18T16:29:48.116Z,0.500017,0.000017,-0.000028,-0.440175,0
1760804988216757290,2025-10-18T16:29:48.216Z,0.500014,0.000014,-0.000024,-0.343445,0
1760804988316527207,2025-10-18T16:29:48.316Z,0.500012,0.000012,-0.000022,-0.205888,0
1760804988416954175,2025-10-18T16:29:48.417Z,0.500010,0.000010,-0.000019,-0.001265,0
1760804988516269322,2025-10-18T16:29:48.516Z,0.500009,0.000009,-0.000016,0.338841,0
1760804988616961061,2025-10-18T16:29:48.617Z,0.500007,0.000007,-0.000014,0.856544,0
1760804988716784845,2025-10-18T16:29:48.716Z,0.500006,0.000006,-0.000013,1.324825,0
1760804988815879854,2025-10-18T16:29:48.816Z,0.500005,0.000005,-0.000010,1.590922,0
1760804988915592497,2025-10-18T16:29:48.915Z,0.500004,0.000004,-0.000009,1.535597,0
1760804989015177192,2025-10-18T16:29:49.015Z,0.500004,0.000004,-0.000007,1.469289,0
1760804989115778884,2025-10-18T16:29:49.115Z,0.500003,0.000003,-0.000007,1.351351,0
1760804989215582220,2025-10-18T16:29:49.215Z,0.500002,0.000002,-0.000005,1.323094,0
1760804989316830022,2025-10-18T16:29:49.317Z,0.500002,0.000002,-0.000005,1.217908,0
1760804989415593366,2025-10-18T16:29:49.415Z,0.500002,0.000002,-0.000004,1.195620,0
1760804989516905182,2025-10-18T16:29:49.517Z,0.500001,0.000001,-0.000003,1.162768,0
1760804989616810679,2025-10-18T16:29:49.617Z,0.500001,0.000001,-0.000002,1.130483,0
1760804989716739536,2025-10-18T16:29:49.716Z,0.500001,0.000001,-0.000002,1.068688,0
1760804989816859970,2025-10-18T16:29:49.817Z,0.500001,0.000001,-0.000002,1.063127,0
1760804989915752934,2025-10-18T16:29:49.915Z,0.500001,0.000001,-0.000001,1.067288,0
1760804990017105620,2025-10-18T16:29:50.017Z,0.500000,0.000000,-0.000001,1.027239,0
1760804990116340489,2025-10-18T16:29:50.116Z,0.500000,0.000000,-0.000001,0.978653,0
1760804990216765832,2025-10-18T16:29:50.216Z,0.500000,0.000000,-0.000001,1.021203,0
1760804990315876038,2025-10-18T16:29:50.316Z,0.500000,0.000000,-0.000001,0.982100,0
1760804990416877274,2025-10-18T16:29:50.417Z,0.500000,0.000000,-0.000001,0.951958,0
1760804990515829743,2025-10-18T16:29:50.515Z,0.500000,0.000000,0.000000,1.044576,0
1760804990616996403,2025-10-18T16:29:50.617Z,0.500000,0.000000,-0.000001,0.858378,0
1760804990716567517,2025-10-18T16:29:50.716Z,0.500000,0.000000,0.000000,1.006183,0
1760804990816598277,2025-10-18T16:29:50.816Z,0.500000,0.000000,0.000000,0.978302,0
1760804990916278851,2025-10-18T16:29:50.916Z,0.500000,0.000000,-0.000001,0.711571,0
1760804991016903743,2025-10-18T16:29:51.017Z,0.500000,0.000000,0.000000,0.955653,0
1760804991116462476,2025-10-18T16:29:51.116Z,0.500000,0.000000,0.000000,0.948861,0
1760804991215424146,2025-10-18T16:29:51.215Z,0.500000,0.000000,0.000000,0.900464,0
1760804991316710424,2025-10-18T16:29:51.316Z,0.500000,0.000000,0.000000,0.893560,0
