time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760807721109004682,2025-10-18T17:15:21.109Z,0.015000,-0.485000,0.000000,0.000000,0
1760807721208951088,2025-10-18T17:15:21.209Z,0.040050,-0.459950,0.250634,0.000000,0
1760807721308894394,2025-10-18T17:15:21.308Z,0.071383,-0.428617,0.313513,0.000000,0
1760807721409048487,2025-10-18T17:15:21.409Z,0.106175,-0.393825,0.347384,0.000000,0
1760807721508956582,2025-10-18T17:15:21.509Z,0.142345,-0.357655,0.362024,0.000000,0
1760807721609050013,2025-10-18T17:15:21.609Z,0.178393,-0.321607,0.360144,0.628475,0
1760807721709662494,2025-10-18T17:15:21.709Z,0.213274,-0.286726,0.346695,0.488070,0
1760807721809127102,2025-10-18T17:15:21.809Z,0.246293,-0.253707,0.331968,0.351180,0
1760807721909467059,2025-10-18T17:15:21.909Z,0.277018,-0.222982,0.306204,0.133241,0
1760807722009792122,2025-10-18T17:15:22.009Z,0.305215,-0.194785,0.281053,-0.082514,0
1760807722109572166,2025-10-18T17:15:22.109Z,0.330796,-0.169204,0.256376,-0.296633,0
1760807722209303117,2025-10-18T17:15:22.209Z,0.353779,-0.146221,0.230450,-0.520221,0
1760807722309758796,2025-10-18T17:15:22.309Z,0.374254,-0.125746,0.203818,-0.740602,0
1760807722409072994,2025-10-18T17:15:22.409Z,0.392358,-0.107642,0.182297,-0.897183,0
1760807722509052555,2025-10-18T17:15:22.509Z,0.408261,-0.091739,0.159058,-1.052921,0
1760807722609113382,2025-10-18T17:15:22.609Z,0.422145,-0.077855,0.138755,-1.162781,0
1760807722711282105,2025-10-18T17:15:22.711Z,0.434199,-0.065801,0.117986,-1.260922,0
1760807722810986771,2025-10-18T17:15:22.811Z,0.444611,-0.055389,0.104430,-1.285404,0
1760807722909548680,2025-10-18T17:15:22.909Z,0.453561,-0.046439,0.090807,-1.309178,0
1760807723009405967,2025-10-18T17:15:23.009Z,0.461220,-0.038780,0.076692,-1.335419,0
1760807723109197477,2025-10-18T17:15:23.109Z,0.467744,-0.032256,0.065378,-1.556645,0
1760807723209215669,2025-10-18T17:15:23.209Z,0.473278,-0.026722,0.055336,-1.465832,0
1760807723309102700,2025-10-18T17:15:23.309Z,0.477954,-0.022046,0.046812,-1.375467,0
