time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760808908949515889,2025-10-18T17:35:08.949Z,0.015000,-0.485000,0.000000,0.000000,0
1760808909049547663,2025-10-18T17:35:09.049Z,0.040050,-0.459950,0.250420,0.000000,0
1760808909149647243,2025-10-18T17:35:09.149Z,0.071383,-0.428617,0.313023,0.000000,0
1760808909247954374,2025-10-18T17:35:09.248Z,0.106175,-0.393825,0.353911,0.000000,0
1760808909350050886,2025-10-18T17:35:09.350Z,0.142345,-0.357655,0.354264,0.000000,0
1760808909448257308,2025-10-18T17:35:09.448Z,0.178393,-0.321607,0.367064,0.668895,0
1760808909548188794,2025-10-18T17:35:09.548Z,0.213274,-0.286726,0.349058,0.495426,0
1760808909650092724,2025-10-18T17:35:09.650Z,0.246293,-0.253707,0.324022,0.286211,0
1760808909750006353,2025-10-18T17:35:09.750Z,0.277018,-0.222982,0.307511,0.143655,0
1760808909850150412,2025-10-18T17:35:09.850Z,0.305215,-0.194785,0.281561,-0.078764,0
1760808909948025994,2025-10-18T17:35:09.948Z,0.330796,-0.169204,0.261365,-0.253436,0
1760808910048512902,2025-10-18T17:35:10.048Z,0.353779,-0.146221,0.228716,-0.540353,0
1760808910150189752,2025-10-18T17:35:10.150Z,0.374254,-0.125746,0.201370,-0.764470,0
1760808910250087237,2025-10-18T17:35:10.250Z,0.392358,-0.107642,0.181233,-0.904985,0
1760808910349918504,2025-10-18T17:35:10.350Z,0.408261,-0.091739,0.159294,-1.047369,0
1760808910450052325,2025-10-18T17:35:10.450Z,0.422145,-0.077855,0.138654,-1.160364,0
1760808910550137191,2025-10-18T17:35:10.550Z,0.434199,-0.065801,0.120442,-1.237178,0
1760808910650083660,2025-10-18T17:35:10.650Z,0.444611,-0.055389,0.104177,-1.287595,0
1760808910750164237,2025-10-18T17:35:10.750Z,0.453561,-0.046439,0.089429,-1.319777,0
1760808910850108838,2025-10-18T17:35:10.850Z,0.461220,-0.038780,0.076625,-1.333781,0
1760808910950106674,2025-10-18T17:35:10.950Z,0.467744,-0.032256,0.065243,-1.554608,0
1760808911050049720,2025-10-18T17:35:11.050Z,0.473278,-0.026722,0.055378,-1.462771,0
1760808911150096472,2025-10-18T17:35:11.150Z,0.477954,-0.022046,0.046737,-1.373517,0
1760808911250239243,2025-10-18T17:35:11.250Z,0.481889,-0.018111,0.039289,-1.302782,0
1760808911350049647,2025-10-18T17:35:11.350Z,0.485186,-0.014814,0.033037,-1.239636,0
1760808911450093970,2025-10-18T17:35:11.450Z,0.487939,-0.012061,0.027514,-1.197379,0
1760808911550124592,2025-10-18T17:35:11.550Z,0.490228,-0.009772,0.022880,-1.159617,0
1760808911650080409,2025-10-18T17:35:11.650Z,0.492123,-0.007877,0.018961,-1.122835,0
1760808911750032777,2025-10-18T17:35:11.750Z,0.493686,-0.006314,0.015637,-1.095204,0
1760808911850045745,2025-10-18T17:35:11.850Z,0.494969,-0.005031,0.012834,-1.070556,0
1760808911950088763,2025-10-18T17:35:11.950Z,0.496019,-0.003981,0.010489,-1.056297,0
1760808912050101797,2025-10-18T17:35:12.050Z,0.496873,-0.003127,0.008539,-1.037874,0
1760808912150024206,2025-10-18T17:35:12.150Z,0.497564,-0.002436,0.006922,-1.017101,0
1760808912250043183,2025-10-18T17:35:12.250Z,0.498122,-0.001878,0.005571,-1.002117,0
1760808912349976360,2025-10-18T17:35:12.350Z,0.498568,-0.001432,0.004467,-0.988449,0
1760808912449661173,2025-10-18T17:35:12.449Z,0.498923,-0.001077,0.003565,-0.974815,0
1760808912549919524,2025-10-18T17:35:12.550Z,0.499205,-0.000795,0.002804,-0.962702,0
1760808912650121628,2025-10-18T17:35:12.650Z,0.499425,-0.000575,0.002202,-0.950977,0
1760808912750092132,2025-10-18T17:35:12.750Z,0.499597,-0.000403,0.001717,-0.939220,0
