time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760807518920392733,2025-10-18T17:11:58.920Z,0.015000,-0.485000,0.000000,0.000000,0
1760807519020516224,2025-10-18T17:11:59.020Z,0.040050,-0.459950,0.250191,0.000000,0
1760807519120380763,2025-10-18T17:11:59.120Z,0.071383,-0.428617,0.313760,0.000000,0
1760807519221870210,2025-10-18T17:11:59.222Z,0.106175,-0.393825,0.342813,0.000000,0
1760807519321972208,2025-10-18T17:11:59.322Z,0.142345,-0.357655,0.361323,0.000000,0
1760807519420623642,2025-10-18T17:11:59.420Z,0.178393,-0.321607,0.365408,0.665688,0
1760807519521674790,2025-10-18T17:11:59.521Z,0.213274,-0.286726,0.345190,0.478384,0
1760807519621529015,2025-10-18T17:11:59.621Z,0.246293,-0.253707,0.330673,0.343776,0
1760807519721582875,2025-10-18T17:11:59.721Z,0.277018,-0.222982,0.307080,0.142979,0
1760807519820436938,2025-10-18T17:11:59.820Z,0.305215,-0.194785,0.285235,-0.045702,0
1760807519920427507,2025-10-18T17:11:59.920Z,0.330796,-0.169204,0.255836,-0.303285,0
1760807520020393993,2025-10-18T17:12:00.020Z,0.353779,-0.146221,0.229907,-0.526439,0
1760807520120969574,2025-10-18T17:12:00.121Z,0.374254,-0.125746,0.203575,-0.743439,0
1760807520220292607,2025-10-18T17:12:00.220Z,0.392358,-0.107642,0.182281,-0.897576,0
1760807520321770345,2025-10-18T17:12:00.321Z,0.408261,-0.091739,0.156709,-1.073476,0
1760807520420528394,2025-10-18T17:12:00.420Z,0.422145,-0.077855,0.140585,-1.143974,0
1760807520520205758,2025-10-18T17:12:00.520Z,0.434199,-0.065801,0.120935,-1.236050,0
1760807520622124918,2025-10-18T17:12:00.622Z,0.444611,-0.055389,0.102161,-1.307436,0
1760807520720282750,2025-10-18T17:12:00.720Z,0.453561,-0.046439,0.091181,-1.306413,0
1760807520820735785,2025-10-18T17:12:00.820Z,0.461220,-0.038780,0.076237,-1.339593,0
1760807520920805428,2025-10-18T17:12:00.920Z,0.467744,-0.032256,0.065197,-1.558051,0
1760807521021075262,2025-10-18T17:12:01.021Z,0.473278,-0.026722,0.055197,-1.466696,0
1760807521120750598,2025-10-18T17:12:01.120Z,0.477954,-0.022046,0.046911,-1.374387,0
1760807521221119946,2025-10-18T17:12:01.221Z,0.481889,-0.018111,0.039200,-1.301293,0
1760807521322826322,2025-10-18T17:12:01.322Z,0.485186,-0.014814,0.032422,-1.245204,0
1760807521420461674,2025-10-18T17:12:01.420Z,0.487939,-0.012061,0.028193,-1.190501,0
1760807521520362096,2025-10-18T17:12:01.520Z,0.490228,-0.009772,0.022910,-1.155358,0
1760807521620239234,2025-10-18T17:12:01.620Z,0.492123,-0.007877,0.018976,-1.122965,0
1760807521720308435,2025-10-18T17:12:01.720Z,0.493686,-0.006314,0.015619,-1.095096,0
