time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760808051267224082,2025-10-18T17:20:51.267Z,0.015000,-0.485000,0.000000,0.000000,0
1760808051367196429,2025-10-18T17:20:51.367Z,0.040050,-0.459950,0.250569,0.000000,0
1760808051467419451,2025-10-18T17:20:51.467Z,0.071383,-0.428617,0.312638,0.000000,0
1760808051567206602,2025-10-18T17:20:51.567Z,0.106175,-0.393825,0.348662,0.000000,0
1760808051667228388,2025-10-18T17:20:51.667Z,0.142345,-0.357655,0.361612,0.000000,0
1760808051767454436,2025-10-18T17:20:51.767Z,0.178393,-0.321607,0.359667,0.625827,0
1760808052380380387,2025-10-18T17:20:52.380Z,0.213274,-0.286726,0.056910,-1.219331,0
1760808052380709741,2025-10-18T17:20:52.380Z,0.246293,-0.253707,100.254030,2.474854,0
1760808052380866578,2025-10-18T17:20:52.380Z,0.277018,-0.222982,195.901002,2.344680,0
1760808052381023504,2025-10-18T17:20:52.381Z,0.305215,-0.194785,179.681078,1.644675,0
1760808052381170351,2025-10-18T17:20:52.381Z,0.330796,-0.169204,174.203156,1.350573,0
1760808052381312934,2025-10-18T17:20:52.381Z,0.353779,-0.146221,161.190217,1.082495,0
1760808052467274884,2025-10-18T17:20:52.467Z,0.374254,-0.125746,0.238183,-0.735298,0
1760808052567203339,2025-10-18T17:20:52.567Z,0.392358,-0.107642,0.181177,-0.696853,0
1760808052669015093,2025-10-18T17:20:52.669Z,0.408261,-0.091739,0.156195,-0.663757,0
1760808052768984693,2025-10-18T17:20:52.769Z,0.422145,-0.077855,0.138882,-0.635014,0
1760808052867742535,2025-10-18T17:20:52.867Z,0.434199,-0.065801,0.122061,-0.609795,0
1760808052967597564,2025-10-18T17:20:52.967Z,0.444611,-0.055389,0.104272,-0.587446,0
1760808053067717948,2025-10-18T17:20:53.067Z,0.453561,-0.046439,0.089394,-0.567418,0
1760808053167609605,2025-10-18T17:20:53.167Z,0.461220,-0.038780,0.076665,-0.549333,0
1760808053267566393,2025-10-18T17:20:53.267Z,0.467744,-0.032256,0.065270,-0.549545,0
1760808053367383597,2025-10-18T17:20:53.367Z,0.473278,-0.026722,0.055448,-0.549504,0
1760808053467260734,2025-10-18T17:20:53.467Z,0.477954,-0.022046,0.046816,-0.549384,0
1760808053567594040,2025-10-18T17:20:53.567Z,0.481889,-0.018111,0.039214,-0.549211,0
1760808053667222142,2025-10-18T17:20:53.667Z,0.485186,-0.014814,0.033098,-0.549002,0
1760808053768728834,2025-10-18T17:20:53.768Z,0.487939,-0.012061,0.027118,-0.548787,0
1760808053869077743,2025-10-18T17:20:53.869Z,0.490228,-0.009772,0.022807,-0.548815,0
1760808053967109661,2025-10-18T17:20:53.967Z,0.492123,-0.007877,0.019333,-0.486796,0
1760808054067204067,2025-10-18T17:20:54.067Z,0.493686,-0.006314,0.015615,-0.410046,0
