time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760805052078417880,2025-10-18T16:30:52.078Z,0.528000,0.228000,0.000000,0.000000,0
1760805052178313489,2025-10-18T16:30:52.178Z,0.537000,0.237000,0.090094,0.000000,0
1760805052279803533,2025-10-18T16:30:52.280Z,0.556000,0.256000,0.187210,0.000000,0
1760805052379600636,2025-10-18T16:30:52.379Z,0.555000,0.255000,-0.010020,0.000000,0
1760805052478829948,2025-10-18T16:30:52.478Z,0.559000,0.259000,0.040311,0.000000,0
1760805052577934504,2025-10-18T16:30:52.578Z,0.561000,0.261000,0.020180,-0.465429,0
1760805052677318899,2025-10-18T16:30:52.677Z,0.563000,0.263000,0.020124,-0.429796,0
1760805052778249764,2025-10-18T16:30:52.778Z,0.561000,0.261000,-0.019816,-0.890769,0
1760805052876181477,2025-10-18T16:30:52.876Z,0.563000,0.263000,0.020423,-0.284861,0
1760805052976663867,2025-10-18T16:30:52.976Z,0.558000,0.258000,-0.049760,-1.193577,0
1760805053078429526,2025-10-18T16:30:53.078Z,0.553000,0.253000,-0.049133,-1.062035,0
1760805053178657403,2025-10-18T16:30:53.178Z,0.546000,0.246000,-0.069841,-1.215275,0
1760805053277040963,2025-10-18T16:30:53.277Z,0.546000,0.246000,0.000000,-0.206541,0
1760805053376169155,2025-10-18T16:30:53.376Z,0.546000,0.246000,0.000000,-0.199290,0
1760805053477427484,2025-10-18T16:30:53.477Z,0.546000,0.246000,0.000000,-0.192751,0
1760805053578317935,2025-10-18T16:30:53.578Z,0.547000,0.247000,0.009912,-0.032356,0
1760805053677315142,2025-10-18T16:30:53.677Z,0.544000,0.244000,-0.030303,-0.671883,0
1760805053776902897,2025-10-18T16:30:53.777Z,0.543000,0.243000,-0.010042,-0.319067,0
1760805053876956626,2025-10-18T16:30:53.877Z,0.540000,0.240000,-0.029984,-0.641386,0
1760805053976624109,2025-10-18T16:30:53.976Z,0.541000,0.241000,0.010033,0.064748,0
1760805054076644763,2025-10-18T16:30:54.076Z,0.532000,0.232000,-0.089981,-1.555253,0
1760805054176279543,2025-10-18T16:30:54.176Z,0.533000,0.233000,0.010037,0.217702,0
1760805054277574388,2025-10-18T16:30:54.277Z,0.530000,0.230000,-0.029617,-0.503709,0
1760805054376999695,2025-10-18T16:30:54.377Z,0.532000,0.232000,0.020116,0.924649,0
1760805054475817261,2025-10-18T16:30:54.475Z,0.532000,0.232000,0.000000,0.418764,0
1760805054577202981,2025-10-18T16:30:54.577Z,0.530000,0.230000,-0.019727,-0.140371,0
1760805054676655398,2025-10-18T16:30:54.676Z,0.537000,0.237000,0.070386,2.332349,0
1760805054776555947,2025-10-18T16:30:54.776Z,0.529000,0.229000,-0.080080,-1.657828,0
1760805054876152277,2025-10-18T16:30:54.876Z,0.523000,0.223000,-0.060243,-1.035559,0
1760805054975914498,2025-10-18T16:30:54.976Z,0.524000,0.224000,0.010024,0.693958,0
1760805055074877009,2025-10-18T16:30:55.074Z,0.526000,0.226000,0.020210,0.865479,0
1760805055175826856,2025-10-18T16:30:55.175Z,0.529000,0.229000,0.029717,1.014397,0
1760805055274734788,2025-10-18T16:30:55.274Z,0.530000,0.230000,0.010110,0.477857,0
1760805055375327026,2025-10-18T16:30:55.375Z,0.527000,0.227000,-0.029823,-0.534450,0
1760805055475602048,2025-10-18T16:30:55.475Z,0.529000,0.229000,0.019945,0.735755,0
1760805055576294738,2025-10-18T16:30:55.576Z,0.522000,0.222000,-0.069518,-1.404033,0
1760805055676135404,2025-10-18T16:30:55.676Z,0.520000,0.220000,-0.020032,-0.200306,0
1760805055776461288,2025-10-18T16:30:55.776Z,0.525000,0.225000,0.049838,1.373776,0
1760805055876452736,2025-10-18T16:30:55.876Z,0.525000,0.225000,0.000000,0.174725,0
1760805055976902480,2025-10-18T16:30:55.977Z,0.524000,0.224000,-0.009955,-0.036037,0
1760805056076744368,2025-10-18T16:30:56.076Z,0.522000,0.222000,-0.020031,-0.398475,0
1760805056177362753,2025-10-18T16:30:56.177Z,0.521000,0.221000,-0.009938,-0.106185,0
1760805056275190419,2025-10-18T16:30:56.275Z,0.517000,0.217000,-0.040888,-0.900505,0
1760805056373348468,2025-10-18T16:30:56.373Z,0.517000,0.217000,0.000000,0.198853,0
1760805056475482313,2025-10-18T16:30:56.475Z,0.519000,0.219000,0.019582,0.683785,0
1760805056573651063,2025-10-18T16:30:56.573Z,0.519000,0.219000,0.000000,0.145387,0
