time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760453842750192439,2025-10-14T14:57:22.750Z,0.050000,-0.450000,0.000000,0.000000,0
1760453842849954872,2025-10-14T14:57:22.850Z,0.095000,-0.405000,0.451072,0.000000,0
1760453842951651730,2025-10-14T14:57:22.951Z,0.135500,-0.364500,0.398242,0.000000,0
1760453843049957826,2025-10-14T14:57:23.050Z,0.171950,-0.328050,0.370781,0.000000,0
1760453843149825760,2025-10-14T14:57:23.149Z,0.204755,-0.295245,0.328484,0.000000,0
1760453843250082391,2025-10-14T14:57:23.250Z,0.234279,-0.265721,0.294489,-0.079299,0
1760453843351017936,2025-10-14T14:57:23.351Z,0.260852,-0.239148,0.263258,-0.256079,0
1760453843451521391,2025-10-14T14:57:23.451Z,0.284766,-0.215234,0.237950,-0.399415,0
1760453843550147538,2025-10-14T14:57:23.550Z,0.306290,-0.193710,0.218232,-0.506052,0
1760453843649969087,2025-10-14T14:57:23.650Z,0.325661,-0.174339,0.194056,-0.641749,0
1760453843749876918,2025-10-14T14:57:23.749Z,0.343095,-0.156905,0.174500,-0.739089,0
1760453843849785857,2025-10-14T14:57:23.849Z,0.358785,-0.141215,0.157048,-0.816957,0
1760453843950642152,2025-10-14T14:57:23.950Z,0.372907,-0.127093,0.140016,-0.888007,0
1760453844050262811,2025-10-14T14:57:24.050Z,0.385616,-0.114384,0.127577,-0.922478,0
1760453844150178760,2025-10-14T14:57:24.150Z,0.397054,-0.102946,0.114480,-0.961877,0
1760453844250040691,2025-10-14T14:57:24.250Z,0.407349,-0.092651,0.103088,-0.988193,0
1760453844349970007,2025-10-14T14:57:24.350Z,0.416614,-0.083386,0.092716,-1.007630,0
1760453844449896966,2025-10-14T14:57:24.449Z,0.424953,-0.075047,0.083447,-1.020145,0
1760453844550002378,2025-10-14T14:57:24.550Z,0.432457,-0.067543,0.074968,-1.028536,0
1760453844649991974,2025-10-14T14:57:24.650Z,0.439212,-0.060788,0.067550,-1.031070,0
1760453844749928433,2025-10-14T14:57:24.750Z,0.445291,-0.054709,0.060827,-1.151262,0
1760453844849940035,2025-10-14T14:57:24.850Z,0.450761,-0.049239,0.054703,-1.152919,0
1760453844951048645,2025-10-14T14:57:24.951Z,0.455685,-0.044315,0.048699,-1.151382,0
1760453845049885455,2025-10-14T14:57:25.049Z,0.460117,-0.039883,0.044836,-1.146015,0
1760453845151089801,2025-10-14T14:57:25.151Z,0.464105,-0.035895,0.039409,-1.158463,0
1760453845251270536,2025-10-14T14:57:25.251Z,0.467695,-0.032305,0.035830,-1.152847,0
1760453845349971897,2025-10-14T14:57:25.350Z,0.470925,-0.029075,0.032730,-1.142560,0
1760453845451443283,2025-10-14T14:57:25.451Z,0.473833,-0.026167,0.028653,-1.152719,0
1760453845550126944,2025-10-14T14:57:25.550Z,0.476449,-0.023551,0.026517,-1.143329,0
1760453845650107352,2025-10-14T14:57:25.650Z,0.478804,-0.021196,0.023555,-1.150699,0
1760453845751143019,2025-10-14T14:57:25.751Z,0.480924,-0.019076,0.020978,-1.155950,0
1760453845849901275,2025-10-14T14:57:25.849Z,0.482832,-0.017168,0.019316,-1.145749,0
1760453845949861837,2025-10-14T14:57:25.949Z,0.484548,-0.015452,0.017175,-1.148965,0
1760453846050045178,2025-10-14T14:57:26.050Z,0.486094,-0.013906,0.015423,-1.150946,0
1760453846149993213,2025-10-14T14:57:26.150Z,0.487484,-0.012516,0.013914,-1.149911,0
1760453846249915603,2025-10-14T14:57:26.249Z,0.488736,-0.011264,0.012526,-1.150284,0
1760453846351261346,2025-10-14T14:57:26.351Z,0.489862,-0.010138,0.011115,-1.157028,0
1760453846450904970,2025-10-14T14:57:26.451Z,0.490876,-0.009124,0.010174,-1.149127,0
1760453846551518441,2025-10-14T14:57:26.551Z,0.491788,-0.008212,0.009068,-1.153605,0
1760453846651532879,2025-10-14T14:57:26.651Z,0.492610,-0.007390,0.008211,-1.150866,0
1760453846751507792,2025-10-14T14:57:26.751Z,0.493349,-0.006651,0.007392,-1.151369,0
1760453846851176635,2025-10-14T14:57:26.851Z,0.494014,-0.005986,0.006674,-1.150582,0
1760453846951142823,2025-10-14T14:57:26.951Z,0.494612,-0.005388,0.005988,-1.148279,0
1760453847051452028,2025-10-14T14:57:27.051Z,0.495151,-0.004849,0.005371,-1.154175,0
1760453847149884616,2025-10-14T14:57:27.149Z,0.495636,-0.004364,0.004926,-1.141337,0
1760453847249931884,2025-10-14T14:57:27.250Z,0.496072,-0.003928,0.004362,-1.148162,0
1760453847349990948,2025-10-14T14:57:27.350Z,0.496465,-0.003535,0.003925,-1.152720,0
1760453847449970170,2025-10-14T14:57:27.450Z,0.496819,-0.003181,0.003536,-1.146871,0
1760453847551093842,2025-10-14T14:57:27.551Z,0.497137,-0.002863,0.003146,-1.156225,0
1760453847650331163,2025-10-14T14:57:27.650Z,0.497423,-0.002577,0.002885,-1.147452,0
1760453847751199200,2025-10-14T14:57:27.751Z,0.497681,-0.002319,0.002555,-1.151235,0
1760453847851185200,2025-10-14T14:57:27.851Z,0.497913,-0.002087,0.002320,-1.151048,0
1760453847951263215,2025-10-14T14:57:27.951Z,0.498121,-0.001879,0.002085,-1.152323,0
1760453848049812938,2025-10-14T14:57:28.049Z,0.498309,-0.001691,0.001906,-1.145277,0
1760453848151313801,2025-10-14T14:57:28.151Z,0.498478,-0.001522,0.001666,-1.160694,0
1760453848251366494,2025-10-14T14:57:28.251Z,0.498631,-0.001369,0.001521,-1.154960,0
1760453848351326116,2025-10-14T14:57:28.351Z,0.498767,-0.001233,0.001370,-1.150287,0
1760453848451182179,2025-10-14T14:57:28.451Z,0.498891,-0.001109,0.001234,-1.151351,0
1760453848551225451,2025-10-14T14:57:28.551Z,0.499002,-0.000998,0.001109,-1.149928,0
1760453848651142540,2025-10-14T14:57:28.651Z,0.499101,-0.000899,0.000999,-1.148604,0
1760453848751792671,2025-10-14T14:57:28.751Z,0.499191,-0.000809,0.000893,-1.151170,0
1760453848850000907,2025-10-14T14:57:28.850Z,0.499272,-0.000728,0.000823,-1.140120,0
1760453848949966718,2025-10-14T14:57:28.950Z,0.499345,-0.000655,0.000728,-1.148430,0
1760453849049969250,2025-10-14T14:57:29.050Z,0.499410,-0.000590,0.000655,-1.146787,0
1760453849150177865,2025-10-14T14:57:29.150Z,0.499469,-0.000531,0.000588,-1.152884,0
1760453849249882125,2025-10-14T14:57:29.249Z,0.499523,-0.000477,0.000532,-1.150780,0
1760453849349939395,2025-10-14T14:57:29.350Z,0.499570,-0.000430,0.000477,-1.153452,0
1760453849450288587,2025-10-14T14:57:29.450Z,0.499613,-0.000387,0.000428,-1.155767,0
1760453849549998910,2025-10-14T14:57:29.550Z,0.499652,-0.000348,0.000388,-1.149106,0
1760453849651109585,2025-10-14T14:57:29.651Z,0.499687,-0.000313,0.000344,-1.158722,0
1760453849749999964,2025-10-14T14:57:29.750Z,0.499718,-0.000282,0.000317,-1.145351,0
1760453849850038469,2025-10-14T14:57:29.850Z,0.499746,-0.000254,0.000282,-1.150970,0
1760453849950161813,2025-10-14T14:57:29.950Z,0.499772,-0.000228,0.000254,-1.150249,0
1760453850049987729,2025-10-14T14:57:30.050Z,0.499794,-0.000206,0.000229,-1.155317,0
1760453850150851794,2025-10-14T14:57:30.150Z,0.499815,-0.000185,0.000204,-1.155083,0
1760453850250098543,2025-10-14T14:57:30.250Z,0.499833,-0.000167,0.000186,-1.147411,0
1760453850349871960,2025-10-14T14:57:30.349Z,0.499850,-0.000150,0.000167,-1.149077,0
1760453850449878928,2025-10-14T14:57:30.449Z,0.499865,-0.000135,0.000150,-1.150318,0
1760453850551307053,2025-10-14T14:57:30.551Z,0.499879,-0.000121,0.000133,-1.156497,0
1760453850650923263,2025-10-14T14:57:30.651Z,0.499891,-0.000109,0.000122,-1.145605,0
1760453850751368187,2025-10-14T14:57:30.751Z,0.499902,-0.000098,0.000109,-1.147321,0
1760453850849985065,2025-10-14T14:57:30.850Z,0.499912,-0.000088,0.000100,-1.143256,0
1760453850949979915,2025-10-14T14:57:30.950Z,0.499920,-0.000080,0.000089,-1.150802,0
1760453851049678709,2025-10-14T14:57:31.049Z,0.499928,-0.000072,0.000080,-1.150029,0
1760453851150159290,2025-10-14T14:57:31.150Z,0.499936,-0.000064,0.000071,-1.151664,0
1760453851250013445,2025-10-14T14:57:31.250Z,0.499942,-0.000058,0.000064,-1.151930,0
1760453851350053742,2025-10-14T14:57:31.350Z,0.499948,-0.000052,0.000058,-1.151494,0
1760453851451473258,2025-10-14T14:57:31.451Z,0.499953,-0.000047,0.000051,-1.157866,0
1760453851551452317,2025-10-14T14:57:31.551Z,0.499958,-0.000042,0.000052,-1.101547,0
1760453851650828771,2025-10-14T14:57:31.650Z,0.499962,-0.000038,0.000042,-1.154228,0
1760453851750780723,2025-10-14T14:57:31.750Z,0.499966,-0.000034,0.000038,-1.163968,0
1760453851850004117,2025-10-14T14:57:31.850Z,0.499970,-0.000030,0.000038,-1.110271,0
1760453851950885201,2025-10-14T14:57:31.951Z,0.499974,-0.000026,0.000037,-1.070367,0
1760453852051451528,2025-10-14T14:57:32.051Z,0.499976,-0.000024,0.000026,-1.202715,0
1760453852151517778,2025-10-14T14:57:32.151Z,0.499979,-0.000021,0.000026,-1.152956,0
1760453852251194500,2025-10-14T14:57:32.251Z,0.499982,-0.000018,0.000026,-1.104135,0
1760453852351021066,2025-10-14T14:57:32.351Z,0.499984,-0.000016,0.000027,-1.051506,0
1760453852450110138,2025-10-14T14:57:32.450Z,0.499986,-0.000014,0.000016,-1.277555,0
1760453852551347009,2025-10-14T14:57:32.551Z,0.499987,-0.000013,0.000016,-1.229676,0
1760453852651017467,2025-10-14T14:57:32.651Z,0.499989,-0.000011,0.000013,-1.273586,0
1760453852751614475,2025-10-14T14:57:32.751Z,0.499990,-0.000010,0.000011,-1.259789,0
1760453852851547883,2025-10-14T14:57:32.851Z,0.499991,-0.000009,0.000010,-1.239306,0
1760453852951075482,2025-10-14T14:57:32.951Z,0.499992,-0.000008,0.000009,-1.229235,0
1760453853051083115,2025-10-14T14:57:33.051Z,0.499993,-0.000007,0.000009,-1.172298,0
1760453853150919749,2025-10-14T14:57:33.151Z,0.499994,-0.000006,0.000009,-1.109976,0
1760453853251281923,2025-10-14T14:57:33.251Z,0.499994,-0.000006,0.000006,-1.211158,0
1760453853351307504,2025-10-14T14:57:33.351Z,0.499995,-0.000005,0.000007,-1.123249,0
1760453853451294244,2025-10-14T14:57:33.451Z,0.499995,-0.000005,0.000005,-1.142684,0
1760453853551223634,2025-10-14T14:57:33.551Z,0.499996,-0.000004,0.000005,-1.100383,0
1760453853651062837,2025-10-14T14:57:33.651Z,0.499996,-0.000004,0.000004,-1.097093,0
1760453853751367384,2025-10-14T14:57:33.751Z,0.499997,-0.000003,0.000004,-1.044738,0
1760453853850185421,2025-10-14T14:57:33.850Z,0.499997,-0.000003,0.000004,-1.012462,0
1760453853951237791,2025-10-14T14:57:33.951Z,0.499997,-0.000003,0.000004,-0.970768,0
1760453854051451046,2025-10-14T14:57:34.051Z,0.499998,-0.000002,0.000002,-1.064251,0
1760453854151015930,2025-10-14T14:57:34.151Z,0.499998,-0.000002,0.000003,-0.962844,0
1760453854251168426,2025-10-14T14:57:34.251Z,0.499998,-0.000002,0.000003,-0.939250,0
1760453854349981816,2025-10-14T14:57:34.350Z,0.499998,-0.000002,0.000003,-1.021037,0
1760453854451080533,2025-10-14T14:57:34.451Z,0.499999,-0.000001,0.000002,-1.045867,0
1760453854551238142,2025-10-14T14:57:34.551Z,0.499999,-0.000001,0.000007,0.170276,0
1760453854651072638,2025-10-14T14:57:34.651Z,0.500000,-0.000000,0.000006,0.008752,0
1760453854751267801,2025-10-14T14:57:34.751Z,0.500000,0.000000,0.000005,-0.109867,0
1760453854849873024,2025-10-14T14:57:34.849Z,0.500001,0.000001,0.000005,-0.098109,0
1760453854951208114,2025-10-14T14:57:34.951Z,0.500001,0.000001,0.000004,-0.336370,0
1760453855050998908,2025-10-14T14:57:35.051Z,0.500002,0.000002,0.000004,-0.533188,0
1760453855151029242,2025-10-14T14:57:35.151Z,0.500002,0.000002,-0.000001,-2.854377,0
1760453855251078511,2025-10-14T14:57:35.251Z,0.500001,0.000001,-0.000002,-2.501553,0
1760453855349906353,2025-10-14T14:57:35.349Z,0.500001,0.000001,-0.000002,-2.122212,0
1760453855451188812,2025-10-14T14:57:35.451Z,0.500001,0.000001,-0.000001,-1.619520,0
1760453855551132553,2025-10-14T14:57:35.551Z,0.500001,0.000001,-0.000001,-1.442800,0
1760453855651344666,2025-10-14T14:57:35.651Z,0.500001,0.000001,-0.000001,-1.094399,0
1760453855751619255,2025-10-14T14:57:35.751Z,0.500001,0.000001,0.000004,0.689182,0
1760453855851544929,2025-10-14T14:57:35.851Z,0.500001,0.000001,-0.000002,-1.374261,0
1760453855951162936,2025-10-14T14:57:35.951Z,0.500001,0.000001,-0.000001,-1.050918,0
1760453856051163596,2025-10-14T14:57:36.051Z,0.500001,0.000001,-0.000001,-0.962200,0
1760453856151517767,2025-10-14T14:57:36.151Z,0.500001,0.000001,0.000004,0.827454,0
1760453856251241833,2025-10-14T14:57:36.251Z,0.500002,0.000002,0.000004,0.615305,0
1760453856351307861,2025-10-14T14:57:36.351Z,0.500001,0.000001,-0.000002,-1.070683,0
1760453856450025326,2025-10-14T14:57:36.450Z,0.500001,0.000001,-0.000002,-0.985497,0
