time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760455105762058799,2025-10-14T15:18:25.762Z,0.015000,-0.485000,0.000000,0.000000,0
1760455105861887687,2025-10-14T15:18:25.861Z,0.040050,-0.459950,0.250929,0.000000,0
1760455105962013035,2025-10-14T15:18:25.962Z,0.071383,-0.428617,0.312943,0.000000,0
1760455106062047393,2025-10-14T15:18:26.062Z,0.106175,-0.393825,0.347800,0.000000,0
1760455106161956145,2025-10-14T15:18:26.162Z,0.142345,-0.357655,0.362021,0.000000,0
1760455106262007836,2025-10-14T15:18:26.262Z,0.178393,-0.321607,0.360294,0.629112,0
1760455106362003081,2025-10-14T15:18:26.362Z,0.213274,-0.286726,0.348835,0.501058,0
1760455106461995450,2025-10-14T15:18:26.462Z,0.246293,-0.253707,0.330216,0.335955,0
1760455106562103998,2025-10-14T15:18:26.562Z,0.277018,-0.222982,0.306912,0.137986,0
1760455106661987892,2025-10-14T15:18:26.662Z,0.305215,-0.194785,0.282294,-0.073405,0
1760455106761846988,2025-10-14T15:18:26.761Z,0.330796,-0.169204,0.256173,-0.300528,0
1760455106861985071,2025-10-14T15:18:26.862Z,0.353779,-0.146221,0.229513,-0.530216,0
1760455106961968392,2025-10-14T15:18:26.962Z,0.374254,-0.125746,0.204781,-0.732184,0
1760455107062033348,2025-10-14T15:18:27.062Z,0.392358,-0.107642,0.180929,-0.910473,0
1760455107161963607,2025-10-14T15:18:27.162Z,0.408261,-0.091739,0.159136,-1.051238,0
1760455107261992985,2025-10-14T15:18:27.262Z,0.422145,-0.077855,0.138799,-1.161399,0
1760455107362105056,2025-10-14T15:18:27.362Z,0.434199,-0.065801,0.120409,-1.239824,0
1760455107462122456,2025-10-14T15:18:27.462Z,0.444611,-0.055389,0.104103,-1.290358,0
1760455107562041182,2025-10-14T15:18:27.562Z,0.453561,-0.046439,0.089574,-1.320515,0
1760455107662167123,2025-10-14T15:18:27.662Z,0.461220,-0.038780,0.076486,-1.336764,0
1760455107762222137,2025-10-14T15:18:27.762Z,0.467744,-0.032256,0.065206,-1.557153,0
1760455107862075388,2025-10-14T15:18:27.862Z,0.473278,-0.026722,0.055428,-1.464089,0
1760455107961944969,2025-10-14T15:18:27.962Z,0.477954,-0.022046,0.046820,-1.374454,0
1760455108061941945,2025-10-14T15:18:28.062Z,0.481889,-0.018111,0.039346,-1.301366,0
1760455108162082584,2025-10-14T15:18:28.162Z,0.485186,-0.014814,0.032928,-1.243271,0
1760455108261895910,2025-10-14T15:18:28.261Z,0.487939,-0.012061,0.027578,-1.195172,0
1760455108362013192,2025-10-14T15:18:28.362Z,0.490228,-0.009772,0.022860,-1.157289,0
1760455108461999832,2025-10-14T15:18:28.462Z,0.492123,-0.007877,0.018955,-1.124780,0
1760455108562038123,2025-10-14T15:18:28.562Z,0.493686,-0.006314,0.015624,-1.097120,0
1760455108662060423,2025-10-14T15:18:28.662Z,0.494969,-0.005031,0.012832,-1.073620,0
1760455108761934208,2025-10-14T15:18:28.762Z,0.496019,-0.003981,0.010507,-1.053035,0
1760455108861975758,2025-10-14T15:18:28.862Z,0.496873,-0.003127,0.008537,-1.034421,0
1760455108962105763,2025-10-14T15:18:28.962Z,0.497564,-0.002436,0.006907,-1.017855,0
1760455109061970945,2025-10-14T15:18:29.062Z,0.498122,-0.001878,0.005579,-1.002096,0
1760455109161969408,2025-10-14T15:18:29.162Z,0.498568,-0.001432,0.004464,-0.988375,0
1760455109261956463,2025-10-14T15:18:29.262Z,0.498923,-0.001077,0.003555,-0.975223,0
1760455109361892573,2025-10-14T15:18:29.361Z,0.499205,-0.000795,0.002813,-0.962500,0
1760455109461908138,2025-10-14T15:18:29.462Z,0.499425,-0.000575,0.002206,-0.950692,0
1760455109562030152,2025-10-14T15:18:29.562Z,0.499597,-0.000403,0.001715,-0.939691,0
1760455109661857297,2025-10-14T15:18:29.661Z,0.499729,-0.000271,0.001325,-0.928162,0
1760455109762589431,2025-10-14T15:18:29.762Z,0.499830,-0.000170,0.001000,-0.917669,0
1760455109861926739,2025-10-14T15:18:29.862Z,0.499905,-0.000095,0.000761,-0.906627,0
1760455109961780478,2025-10-14T15:18:29.961Z,0.499961,-0.000039,0.000558,-0.896878,0
1760455110061818270,2025-10-14T15:18:30.061Z,0.500001,0.000001,0.000402,-0.886676,0
1760455110161841480,2025-10-14T15:18:30.161Z,0.500030,0.000030,0.000281,-0.875856,0
1760455110262275096,2025-10-14T15:18:30.262Z,0.500048,0.000048,0.000187,-0.865911,0
1760455110361750438,2025-10-14T15:18:30.361Z,0.500060,0.000060,0.000117,-0.854670,0
1760455110461884692,2025-10-14T15:18:30.461Z,0.500066,0.000066,0.000064,-0.843618,0
1760455110561915100,2025-10-14T15:18:30.561Z,0.500069,0.000069,0.000024,-0.832152,0
1760455110661850818,2025-10-14T15:18:30.661Z,0.500069,0.000069,-0.000003,-0.819749,0
1760455110761894826,2025-10-14T15:18:30.761Z,0.500066,0.000066,-0.000023,-0.807554,0
1760455110861841573,2025-10-14T15:18:30.861Z,0.500063,0.000063,-0.000036,-0.793724,0
1760455110961891634,2025-10-14T15:18:30.961Z,0.500058,0.000058,-0.000043,-0.778468,0
1760455111061956564,2025-10-14T15:18:31.062Z,0.500053,0.000053,-0.000048,-0.763015,0
1760455111162344518,2025-10-14T15:18:31.162Z,0.500048,0.000048,-0.000050,-0.745471,0
1760455111261911472,2025-10-14T15:18:31.262Z,0.500044,0.000044,-0.000050,-0.726090,0
1760455111361932488,2025-10-14T15:18:31.362Z,0.500039,0.000039,-0.000048,-0.703779,0
1760455111461930770,2025-10-14T15:18:31.462Z,0.500034,0.000034,-0.000045,-0.677784,0
1760455111562061015,2025-10-14T15:18:31.562Z,0.500030,0.000030,-0.000042,-0.648013,0
1760455111661869599,2025-10-14T15:18:31.661Z,0.500026,0.000026,-0.000038,-0.613012,0
1760455111761920507,2025-10-14T15:18:31.762Z,0.500023,0.000023,-0.000035,-0.567456,0
1760455111861897211,2025-10-14T15:18:31.861Z,0.500020,0.000020,-0.000032,-0.516291,0
1760455111961964953,2025-10-14T15:18:31.962Z,0.500017,0.000017,-0.000027,-0.439736,0
1760455112061925824,2025-10-14T15:18:32.062Z,0.500014,0.000014,-0.000024,-0.344523,0
1760455112161913995,2025-10-14T15:18:32.161Z,0.500012,0.000012,-0.000021,-0.205483,0
1760455112262005862,2025-10-14T15:18:32.262Z,0.500010,0.000010,-0.000019,-0.003768,0
