time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760813494514991549,2025-10-18T18:51:34.515Z,0.617000,0.117000,0.000000,0.000000,0
1760813494613377230,2025-10-18T18:51:34.613Z,0.607000,0.107000,-0.101641,0.000000,0
1760813494713848530,2025-10-18T18:51:34.713Z,0.558000,0.058000,-0.487701,0.000000,0
1760813494813100790,2025-10-18T18:51:34.813Z,0.515000,0.015000,-0.433240,0.000000,0
1760813494913505587,2025-10-18T18:51:34.913Z,0.488000,-0.012000,-0.268911,0.000000,0
1760813495013205788,2025-10-18T18:51:35.013Z,0.487000,-0.013000,-0.010030,0.973202,0
1760813495113804817,2025-10-18T18:51:35.113Z,0.490000,-0.010000,0.029822,0.982272,0
1760813495212349959,2025-10-18T18:51:35.212Z,0.501000,0.001000,0.111624,1.142132,0
1760813495312799393,2025-10-18T18:51:35.312Z,0.515000,0.015000,0.139374,1.096338,0
1760813495412521776,2025-10-18T18:51:35.412Z,0.530000,0.030000,0.150417,1.019758,0
1760813495513948837,2025-10-18T18:51:35.514Z,0.532000,0.032000,0.019719,0.434725,0
1760813495613762618,2025-10-18T18:51:35.613Z,0.540000,0.040000,0.080149,0.663252,0
1760813495714475910,2025-10-18T18:51:35.714Z,0.541000,0.041000,0.009929,0.326802,0
1760813495814284542,2025-10-18T18:51:35.814Z,0.542000,0.042000,0.010019,0.314963,0
1760813495912356120,2025-10-18T18:51:35.912Z,0.541000,0.041000,-0.010197,0.207790,0
1760813496012663701,2025-10-18T18:51:36.012Z,0.539000,0.039000,-0.019939,0.153024,0
1760813496112174852,2025-10-18T18:51:36.112Z,0.534000,0.034000,-0.050246,-0.007516,0
1760813496211911765,2025-10-18T18:51:36.211Z,0.535000,0.035000,0.010027,0.313166,0
1760813496312476635,2025-10-18T18:51:36.312Z,0.537000,0.037000,0.019887,0.358046,0
1760813496412283387,2025-10-18T18:51:36.412Z,0.532000,0.032000,-0.050097,-0.044733,0
1760813496512387342,2025-10-18T18:51:36.512Z,0.534000,0.034000,0.019979,0.364112,0
1760813496613263528,2025-10-18T18:51:36.613Z,0.535000,0.035000,0.009914,0.271942,0
1760813496712687573,2025-10-18T18:51:36.712Z,0.533000,0.033000,-0.020116,-0.057388,0
1760813496813464201,2025-10-18T18:51:36.813Z,0.527000,0.027000,-0.059537,-0.752368,0
1760813496913983707,2025-10-18T18:51:36.914Z,0.533000,0.033000,0.059690,0.628714,0
1760813497011994603,2025-10-18T18:51:37.012Z,0.529000,0.029000,-0.040812,-1.023049,0
1760813497113139681,2025-10-18T18:51:37.113Z,0.531000,0.031000,0.019774,-0.011663,0
1760813497213522457,2025-10-18T18:51:37.213Z,0.527000,0.027000,-0.039848,-0.913082,0
1760813497312420275,2025-10-18T18:51:37.312Z,0.525000,0.025000,-0.020223,-0.504299,0
1760813497410830980,2025-10-18T18:51:37.410Z,0.528000,0.028000,0.030485,0.852854,0
1760813497510988565,2025-10-18T18:51:37.511Z,0.527000,0.027000,-0.009984,-0.202267,0
1760813497610852012,2025-10-18T18:51:37.610Z,0.531000,0.031000,0.040055,1.357940,0
1760813497711500898,2025-10-18T18:51:37.711Z,0.527000,0.027000,-0.039742,-0.973905,0
1760813497811402603,2025-10-18T18:51:37.811Z,0.526000,0.026000,-0.010010,-0.058878,0
1760813497910972098,2025-10-18T18:51:37.911Z,0.527000,0.027000,0.010043,0.508695,0
1760813498010594846,2025-10-18T18:51:38.010Z,0.526000,0.026000,-0.010038,-0.104583,0
1760813498111199430,2025-10-18T18:51:38.111Z,0.523000,0.023000,-0.029820,-0.751582,0
1760813498212183096,2025-10-18T18:51:38.212Z,0.524000,0.024000,0.009902,0.477180,0
1760813498310619747,2025-10-18T18:51:38.310Z,0.522000,0.022000,-0.020317,-0.400517,0
1760813498410634264,2025-10-18T18:51:38.410Z,0.518000,0.018000,-0.039994,-1.053884,0
1760813498511363022,2025-10-18T18:51:38.511Z,0.513000,0.013000,-0.049638,-1.223466,0
1760813498610218233,2025-10-18T18:51:38.610Z,0.515000,0.015000,0.020231,0.932684,0
1760813498710507795,2025-10-18T18:51:38.710Z,0.512000,0.012000,-0.029913,-0.595187,0
1760813498810889638,2025-10-18T18:51:38.810Z,0.509000,0.009000,-0.029886,-0.675302,0
1760813498909222155,2025-10-18T18:51:38.909Z,0.509000,0.009000,0.000000,0.452118,0
1760813499009731458,2025-10-18T18:51:39.009Z,0.510000,0.010000,0.009949,0.745124,0
1760813499110453356,2025-10-18T18:51:39.110Z,0.513000,0.013000,0.029785,1.450036,0
1760813499208994356,2025-10-18T18:51:39.209Z,0.515000,0.015000,0.020296,0.992531,0
1760813499310808326,2025-10-18T18:51:39.310Z,0.516000,0.016000,0.009822,0.539481,0
1760813499411444939,2025-10-18T18:51:39.411Z,0.515000,0.015000,-0.009937,-0.138319,0
1760813499509574144,2025-10-18T18:51:39.509Z,0.517000,0.017000,0.020382,0.980755,0
1760813499610606214,2025-10-18T18:51:39.610Z,0.517000,0.017000,0.000000,0.294190,0
1760813499709643161,2025-10-18T18:51:39.709Z,0.516000,0.016000,-0.010098,-0.207571,0
1760813499810144222,2025-10-18T18:51:39.810Z,0.518000,0.018000,0.019901,1.037521,0
1760813499909737180,2025-10-18T18:51:39.909Z,0.514000,0.014000,-0.040164,-1.397346,0
1760813500009964383,2025-10-18T18:51:40.010Z,0.513000,0.013000,-0.009977,-0.145326,0
1760813500109075623,2025-10-18T18:51:40.109Z,0.514000,0.014000,0.010090,0.614116,0
1760813500209189486,2025-10-18T18:51:40.209Z,0.508000,0.008000,-0.059932,-1.962777,0
1760813500309306694,2025-10-18T18:51:40.309Z,0.510000,0.010000,0.019976,0.960002,0
1760813500408952398,2025-10-18T18:51:40.409Z,0.509000,0.009000,-0.010035,-0.215952,0
1760813500509169661,2025-10-18T18:51:40.509Z,0.510000,0.010000,0.009978,0.483464,0
1760813500618044235,2025-10-18T18:51:40.618Z,0.510000,0.010000,0.000000,0.107512,0
1760813500708652784,2025-10-18T18:51:40.708Z,0.509000,0.009000,-0.011036,-0.424954,0
1760813500808479957,2025-10-18T18:51:40.808Z,0.510000,0.010000,0.010017,0.446279,0
1760813500910480173,2025-10-18T18:51:40.910Z,0.508000,0.008000,-0.019608,-0.871111,0
