time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760810255405503001,2025-10-18T17:57:35.405Z,0.614000,0.314000,0.000000,0.000000,0
1760810255554092457,2025-10-18T17:57:35.554Z,0.605000,0.305000,-0.060571,0.000000,0
1760810255605569989,2025-10-18T17:57:35.605Z,0.567000,0.267000,-0.738301,-0.707107,0
1760810255705319785,2025-10-18T17:57:35.705Z,0.521000,0.221000,-0.461153,-0.120753,0
1760810255804296394,2025-10-18T17:57:35.804Z,0.498000,0.198000,-0.232381,0.479295,0
1760810255905102414,2025-10-18T17:57:35.905Z,0.490000,0.190000,-0.079360,0.821097,0
1760810256005160213,2025-10-18T17:57:36.005Z,0.495000,0.195000,0.049967,1.025494,0
1760810256103541162,2025-10-18T17:57:36.103Z,0.510000,0.210000,0.152466,1.119952,0
1760810256203577783,2025-10-18T17:57:36.203Z,0.520000,0.220000,0.099966,0.844839,0
1760810256304154514,2025-10-18T17:57:36.304Z,0.534000,0.234000,0.139200,0.873581,0
1760810256403105737,2025-10-18T17:57:36.403Z,0.538000,0.238000,0.040423,0.514210,0
1760810256504179063,2025-10-18T17:57:36.504Z,0.544000,0.244000,0.059366,0.546047,0
1760810256604717292,2025-10-18T17:57:36.604Z,0.548000,0.248000,0.039790,0.439247,0
1760810256703884872,2025-10-18T17:57:36.703Z,0.545000,0.245000,-0.030247,-0.055320,0
1760810256803562769,2025-10-18T17:57:36.803Z,0.548000,0.248000,0.030098,0.051845,0
1760810256903591146,2025-10-18T17:57:36.903Z,0.538000,0.238000,-0.099983,-1.689162,0
1760810257004580060,2025-10-18T17:57:37.004Z,0.538000,0.238000,0.000000,-0.602779,0
1760810257103928047,2025-10-18T17:57:37.103Z,0.533000,0.233000,-0.050328,-1.031724,0
1760810257203616623,2025-10-18T17:57:37.203Z,0.530000,0.230000,-0.030094,-0.595708,0
1760810257302730915,2025-10-18T17:57:37.302Z,0.529000,0.229000,-0.010089,-0.283493,0
1760810257403572003,2025-10-18T17:57:37.403Z,0.525000,0.225000,-0.039666,-0.558797,0
1760810257502284457,2025-10-18T17:57:37.502Z,0.519000,0.219000,-0.060776,-0.915796,0
1760810257603207759,2025-10-18T17:57:37.603Z,0.525000,0.225000,0.059452,1.624770,0
1760810257701984267,2025-10-18T17:57:37.701Z,0.525000,0.225000,0.000000,0.479552,0
1760810257802490110,2025-10-18T17:57:37.802Z,0.530000,0.230000,0.049749,1.307021,0
1760810257902621267,2025-10-18T17:57:37.902Z,0.536000,0.236000,0.059921,1.364909,0
1760810258002053865,2025-10-18T17:57:38.002Z,0.535000,0.235000,-0.010057,-0.166805,0
1760810258102553600,2025-10-18T17:57:38.102Z,0.538000,0.238000,0.029849,0.681915,0
1760810258202905538,2025-10-18T17:57:38.202Z,0.533000,0.233000,-0.049826,-1.129549,0
1760810258302214727,2025-10-18T17:57:38.302Z,0.530000,0.230000,-0.030208,-0.683202,0
1760810258403170793,2025-10-18T17:57:38.403Z,0.521000,0.221000,-0.089150,-1.585986,0
1760810258502916647,2025-10-18T17:57:38.502Z,0.514000,0.214000,-0.070177,-1.197936,0
1760810258602489371,2025-10-18T17:57:38.602Z,0.510000,0.210000,-0.040172,-0.606459,0
1760810258701718268,2025-10-18T17:57:38.701Z,0.508000,0.208000,-0.020156,-0.098211,0
1760810258801277258,2025-10-18T17:57:38.801Z,0.505000,0.205000,-0.030133,-0.250691,0
1760810258902494231,2025-10-18T17:57:38.902Z,0.512000,0.212000,0.069156,1.692465,0
1760810259001723878,2025-10-18T17:57:39.001Z,0.522000,0.222000,0.100789,1.965953,0
1760810259101946173,2025-10-18T17:57:39.101Z,0.533000,0.233000,0.109755,1.627187,0
1760810259201474052,2025-10-18T17:57:39.201Z,0.542000,0.242000,0.090419,1.178301,0
1760810259302088806,2025-10-18T17:57:39.302Z,0.547000,0.247000,0.049695,0.510094,0
1760810259402993641,2025-10-18T17:57:39.402Z,0.544000,0.244000,-0.029730,-0.586186,0
1760810259503452852,2025-10-18T17:57:39.503Z,0.532000,0.232000,-0.119451,-1.800453,0
1760810259601176749,2025-10-18T17:57:39.601Z,0.516000,0.216000,-0.163722,-1.819058,0
1760810259701546314,2025-10-18T17:57:39.701Z,0.501000,0.201000,-0.149452,-1.393126,0
1760810259801795863,2025-10-18T17:57:39.801Z,0.494000,0.194000,-0.069826,-0.541042,0
1760810259901734849,2025-10-18T17:57:39.901Z,0.480000,0.180000,-0.140084,-1.066484,0
1760810260000573284,2025-10-18T17:57:40.000Z,0.479000,0.179000,-0.010118,0.189565,0
1760810260104914382,2025-10-18T17:57:40.104Z,0.487000,0.187000,0.076663,1.277478,0
1760810260200457463,2025-10-18T17:57:40.200Z,0.509000,0.209000,0.230259,2.031843,0
1760810260301491592,2025-10-18T17:57:40.301Z,0.530000,0.230000,0.207862,1.576633,0
1760810260401038654,2025-10-18T17:57:40.401Z,0.554000,0.254000,0.241091,1.486610,0
1760810260501425325,2025-10-18T17:57:40.501Z,0.560000,0.260000,0.059770,0.284648,0
1760810260600186952,2025-10-18T17:57:40.600Z,0.552000,0.252000,-0.081005,-0.640537,0
1760810260700628082,2025-10-18T17:57:40.700Z,0.533000,0.233000,-0.189165,-1.296881,0
1760810260800688527,2025-10-18T17:57:40.800Z,0.513000,0.213000,-0.199883,-1.287668,0
1760810260901027592,2025-10-18T17:57:40.901Z,0.488000,0.188000,-0.249142,-1.349428,0
1760810261000276828,2025-10-18T17:57:41.000Z,0.460000,0.160000,-0.282116,-1.348178,0
1760810261099903384,2025-10-18T17:57:41.099Z,0.367000,0.067000,-0.933500,-2.457730,0
1760810261201259763,2025-10-18T17:57:41.201Z,0.317000,0.017000,-0.493305,-0.871896,0
1760810261300251729,2025-10-18T17:57:41.300Z,0.418000,0.118000,1.020323,2.244329,0
1760810261400190682,2025-10-18T17:57:41.400Z,0.562000,0.262000,1.440953,2.100985,0
1760810261500520661,2025-10-18T17:57:41.500Z,0.696000,0.396000,1.335550,1.549081,0
1760810261602694728,2025-10-18T17:57:41.602Z,0.774000,0.474000,0.763380,0.646554,0
1760810261699425395,2025-10-18T17:57:41.699Z,0.795000,0.495000,0.217094,-0.004819,0
1760810261799217336,2025-10-18T17:57:41.799Z,0.776000,0.476000,-0.190394,-0.516956,0
1760810261899560150,2025-10-18T17:57:41.899Z,0.717000,0.417000,-0.587993,-0.938675,0
1760810261999141477,2025-10-18T17:57:41.999Z,0.640000,0.340000,-0.773223,-1.052338,0
1760810262098879855,2025-10-18T17:57:42.098Z,0.571000,0.271000,-0.691828,-0.886406,0
1760810262207230485,2025-10-18T17:57:42.207Z,0.521000,0.221000,-0.461551,-0.770928,0
1760810262299570706,2025-10-18T17:57:42.299Z,0.492000,0.192000,-0.313977,-0.565522,0
1760810262399988506,2025-10-18T17:57:42.399Z,0.478000,0.178000,-0.139416,-0.245244,0
1760810262500355288,2025-10-18T17:57:42.500Z,0.474000,0.174000,-0.039864,0.062739,0
1760810262598974257,2025-10-18T17:57:42.598Z,0.471000,0.171000,-0.030414,0.392707,0
1760810262701494427,2025-10-18T17:57:42.701Z,0.473000,0.173000,0.019508,1.169506,0
1760810262798902175,2025-10-18T17:57:42.798Z,0.461000,0.161000,-0.123193,0.636258,0
1760810262900218452,2025-10-18T17:57:42.900Z,0.451000,0.151000,-0.098701,0.584170,0
1760810262998190997,2025-10-18T17:57:42.998Z,0.446000,0.146000,-0.051035,0.700293,0
1760810263097470309,2025-10-18T17:57:43.097Z,0.442000,0.142000,-0.040295,0.628209,0
